From,To,Weight,Level,Strategy,Score,Reason,ParentPath
e,1,17.0,1,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e
e,10,17.0,1,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e
1,10,1.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 1
1,10065,1.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 1
10,1,1.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10
10,1005,1.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10
10,1005,1.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 1 -> 10
10,106,1.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 1 -> 10
1,10065,1.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1
1,11,1.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1
1005,1,1.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1005
11,12,1.0,4,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1 -> 11
11,1297,1.0,4,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1 -> 11
1,10065,1.0,4,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1005 -> 1
1,11,1.0,4,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1005 -> 1
12,10053,1.0,5,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1 -> 11 -> 12
12,1130,1.0,5,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1 -> 11 -> 12
11,12,1.0,5,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1005 -> 1 -> 11
11,1297,1.0,5,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,e -> 10 -> 1005 -> 1 -> 11
