From,To,Weight,Level,Direction,Method
118,55,15,0,INITIAL,ramex_back_forward_polytree_formal
69,55,10,2,BACKWARD,ramex_back_forward_polytree_formal
69,198,12,3,FORWARD,ramex_back_forward_polytree_formal
9,198,12,4,BACKWARD,ramex_back_forward_polytree_formal
130,9,12,5,BACKWARD,ramex_back_forward_polytree_formal
130,50,11,6,FORWARD,ramex_back_forward_polytree_formal
196,9,10,5,BACKWARD,ramex_back_forward_polytree_formal
169,196,9,6,BACKWARD,ramex_back_forward_polytree_formal
62,169,13,7,BACKWARD,ramex_back_forward_polytree_formal
41,169,11,7,BACKWARD,ramex_back_forward_polytree_formal
41,139,14,8,FORWARD,ramex_back_forward_polytree_formal
148,41,12,8,BACKWARD,ramex_back_forward_polytree_formal
41,124,11,8,FORWARD,ramex_back_forward_polytree_formal
101,169,10,7,BACKWARD,ramex_back_forward_polytree_formal
11,62,10,8,BACKWARD,ramex_back_forward_polytree_formal
133,41,10,8,BACKWARD,ramex_back_forward_polytree_formal
133,15,12,9,FORWARD,ramex_back_forward_polytree_formal
85,15,12,10,BACKWARD,ramex_back_forward_polytree_formal
85,106,11,11,FORWARD,ramex_back_forward_polytree_formal
108,15,10,10,BACKWARD,ramex_back_forward_polytree_formal
113,133,10,9,BACKWARD,ramex_back_forward_polytree_formal
120,15,10,10,BACKWARD,ramex_back_forward_polytree_formal
52,120,11,11,BACKWARD,ramex_back_forward_polytree_formal
163,11,10,9,BACKWARD,ramex_back_forward_polytree_formal
163,165,11,10,FORWARD,ramex_back_forward_polytree_formal
162,165,10,11,BACKWARD,ramex_back_forward_polytree_formal
164,15,10,10,BACKWARD,ramex_back_forward_polytree_formal
30,85,10,11,BACKWARD,ramex_back_forward_polytree_formal
49,30,12,12,BACKWARD,ramex_back_forward_polytree_formal
35,15,10,10,BACKWARD,ramex_back_forward_polytree_formal
38,165,10,11,BACKWARD,ramex_back_forward_polytree_formal
42,148,10,9,BACKWARD,ramex_back_forward_polytree_formal
48,162,10,12,BACKWARD,ramex_back_forward_polytree_formal
136,48,11,13,BACKWARD,ramex_back_forward_polytree_formal
33,136,10,14,BACKWARD,ramex_back_forward_polytree_formal
70,11,10,9,BACKWARD,ramex_back_forward_polytree_formal
101,76,10,8,FORWARD,ramex_back_forward_polytree_formal
129,76,10,9,BACKWARD,ramex_back_forward_polytree_formal
129,159,11,10,FORWARD,ramex_back_forward_polytree_formal
178,159,11,11,BACKWARD,ramex_back_forward_polytree_formal
26,178,10,12,BACKWARD,ramex_back_forward_polytree_formal
101,77,10,8,FORWARD,ramex_back_forward_polytree_formal
108,8,10,11,FORWARD,ramex_back_forward_polytree_formal
108,99,10,11,FORWARD,ramex_back_forward_polytree_formal
143,99,10,12,BACKWARD,ramex_back_forward_polytree_formal
133,98,10,9,FORWARD,ramex_back_forward_polytree_formal
98,65,13,10,FORWARD,ramex_back_forward_polytree_formal
