From,To,Weight,Level
e,1,17.0,1
e,10,17.0,1
e,11,17.0,1
e,12,17.0,1
e,13,17.0,1
e,14,17.0,1
e,15,17.0,1
e,16,17.0,1
e,17,17.0,1
e,2,17.0,1
e,3,17.0,1
e,4,17.0,1
e,5,17.0,1
e,6,17.0,1
e,7,17.0,1
e,8,17.0,1
e,9,17.0,1
16,29,2.0,2
1,10065,1.0,2
1,11945,1.0,2
1,16518,1.0,2
1,18175,1.0,2
1,19014,1.0,2
1,21565,1.0,2
1,25214,1.0,2
1,26362,1.0,2
1,27158,1.0,2
1,2898,1.0,2
1,3514,1.0,2
1,3707,1.0,2
1,418754,1.0,2
1,45475,1.0,2
1,5786,1.0,2
1,6241,1.0,2
1,691,1.0,2
10,1005,1.0,2
10,106,1.0,2
10,1090,1.0,2
10,1615,1.0,2
10,18870,1.0,2
10,2069,1.0,2
10,2414,1.0,2
10,2503,1.0,2
10,2554,1.0,2
10,281,1.0,2
10,2848,1.0,2
10,49,1.0,2
10,534,1.0,2
10,6437,1.0,2
10,67454,1.0,2
10,7681,1.0,2
10,954,1.0,2
11,1297,1.0,2
11,1536,1.0,2
11,1605,1.0,2
11,1764,1.0,2
11,18,1.0,2
11,2046,1.0,2
11,2154,1.0,2
11,2489,1.0,2
11,27260,1.0,2
11,2807,1.0,2
11,2987,1.0,2
11,30492,1.0,2
11,312,1.0,2
11,3491,1.0,2
11,453,1.0,2
11,771,1.0,2
11,987,1.0,2
12,10053,1.0,2
12,1130,1.0,2
12,129732,1.0,2
12,1319,1.0,2
12,1444,1.0,2
12,2209,1.0,2
12,278,1.0,2
12,2864,1.0,2
12,3228,1.0,2
12,4049,1.0,2
12,4059,1.0,2
12,41210,1.0,2
12,4188,1.0,2
12,50,1.0,2
12,623,1.0,2
12,640,1.0,2
12,955,1.0,2
13,118967,1.0,2
13,154,1.0,2
13,1628,1.0,2
13,163,1.0,2
13,1857,1.0,2
13,2218,1.0,2
13,2813,1.0,2
13,318,1.0,2
13,427,1.0,2
13,5070,1.0,2
13,65,1.0,2
13,727,1.0,2
13,7983,1.0,2
13,947,1.0,2
13,9730,1.0,2
14,1141,1.0,2
14,1355,1.0,2
14,1762,1.0,2
14,18089,1.0,2
14,2372,1.0,2
14,252270,1.0,2
14,262,1.0,2
14,2715,1.0,2
14,2719,1.0,2
14,3429,1.0,2
14,35992,1.0,2
14,402,1.0,2
14,4246,1.0,2
14,5323,1.0,2
14,631,1.0,2
14,672,1.0,2
14,8527,1.0,2
15,11516,1.0,2
15,1251,1.0,2
15,13449,1.0,2
15,145,1.0,2
15,1471,1.0,2
15,1763,1.0,2
15,2249,1.0,2
15,2676,1.0,2
15,302,1.0,2
15,44,1.0,2
15,45,1.0,2
15,5738,1.0,2
15,5870,1.0,2
15,828,1.0,2
15,901,1.0,2
15,930,1.0,2
16,1049,1.0,2
16,181,1.0,2
16,21,1.0,2
16,22144,1.0,2
16,244,1.0,2
16,26,1.0,2
16,28,1.0,2
16,34,1.0,2
16,366,1.0,2
16,508,1.0,2
16,61,1.0,2
16,67,1.0,2
17,126,1.0,2
17,156,1.0,2
17,202,1.0,2
17,239,1.0,2
17,245,1.0,2
17,264,1.0,2
17,279,1.0,2
17,2927,1.0,2
17,4443,1.0,2
17,5038,1.0,2
17,654,1.0,2
17,696,1.0,2
17,75,1.0,2
17,81,1.0,2
2,10710,1.0,2
