From,To,Weight,Level,Strategy,Score,Reason,ParentPath
Tecnologia,Mercearia,75.0,1,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia
Tecnologia,Higiene,26.0,1,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia
Mercearia,Higiene,23.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Mercearia
Mercearia,Limpeza,18.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Mercearia
Higiene,Mercearia,23.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Higiene
Higiene,Limpeza,11.0,2,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Higiene
Higiene,Limpeza,11.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Mercearia -> Higiene
Limpeza,Higiene,4.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Mercearia -> Limpeza
Mercearia,Limpeza,18.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Higiene -> Mercearia
Limpeza,Mercearia,29.0,3,top-k,,Selecionada por estar entre as transições de maior peso do nó de origem,Tecnologia -> Higiene -> Limpeza
