Source,Target,Frequency
e,1,17
e,2,17
e,3,17
e,4,17
e,5,17
e,6,17
e,7,17
e,8,17
e,9,17
e,10,17
e,11,17
e,12,17
e,13,17
e,14,17
e,15,17
e,16,17
e,17,17
2,1,4
16,1,3
17,2,3
2807,1,2
302,1,2
8,1,2
8,16,2
16,29,2
29,1,2
9,1,2
16,8,2
17,14,2
14,1,2
12,1,2
13,9,2
15,16,2
16,12,2
16,2,2
45,1,2
18,1,2
p,40,1
40,289,1
1,418754,1
418754,1,1
1,2,1
2,73819,1
73819,1,1
1,3,1
3,23795,1
23795,1,1
1,4,1
4,27130,1
27130,1,1
1,5,1
5,8604,1
8604,1,1
1,6,1
6,30577,1
30577,1,1
1,7,1
7,28117,1
28117,1,1
1,8,1
8,8095,1
8095,1,1
1,9,1
9,3257,1
3257,1,1
1,10,1
10,18870,1
18870,1,1
1,11,1
11,27260,1
27260,1,1
1,12,1
12,41210,1
41210,1,1
1,13,1
13,1628,1
1628,1,1
1,14,1
14,35992,1
35992,1,1
1,15,1
15,5738,1
5738,1,1
1,16,1
16,1049,1
1049,1,1
1,17,1
17,5038,1
5038,1,1
1,45475,1
45475,1,1
2,222134,1
222134,1,1
2,3,1
3,10838,1
10838,1,1
2,4,1
4,11168,1
11168,1,1
2,5,1
5,3019,1
3019,1,1
2,6,1
6,9533,1
9533,1,1
2,7,1
7,6317,1
6317,1,1
2,8,1
8,6562,1
6562,1,1
2,9,1
9,2450,1
2450,1,1
2,10,1
10,7681,1
7681,1,1
2,11,1
11,3491,1
3491,1,1
2,12,1
12,10053,1
10053,1,1
2,13,1
13,427,1
427,1,1
2,14,1
14,8527,1
8527,1,1
2,15,1
15,5870,1
5870,1,1
2,16,1
16,181,1
181,1,1
2,17,1
17,696,1
696,1,1
3,1,1
1,16518,1
16518,1,1
3,2,1
2,7933,1
7933,1,1
3,71883,1
71883,1,1
3,4,1
4,3621,1
3621,1,1
3,5,1
5,1409,1
1409,1,1
3,6,1
6,2842,1
2842,1,1
3,7,1
7,741,1
741,1,1
3,8,1
8,1256,1
1256,1,1
3,9,1
9,4816,1
4816,1,1
3,10,1
10,2503,1
2503,1,1
3,11,1
11,2987,1
2987,1,1
3,12,1
12,4188,1
4188,1,1
3,13,1
13,727,1
727,1,1
3,14,1
14,2715,1
2715,1,1
3,15,1
15,2676,1
2676,1,1
3,16,1
16,26,1
26,1,1
3,17,1
17,654,1
654,1,1
4,1,1
1,21565,1
21565,1,1
4,2,1
2,11300,1
11300,1,1
4,3,1
3,3629,1
3629,1,1
4,224830,1
224830,1,1
4,5,1
5,1488,1
1488,1,1
4,6,1
6,5016,1
5016,1,1
4,7,1
7,21398,1
21398,1,1
4,8,1
8,4026,1
4026,1,1
4,9,1
9,7293,1
7293,1,1
4,10,1
10,2554,1
2554,1,1
4,11,1
11,2489,1
2489,1,1
4,12,1
12,3228,1
3228,1,1
4,13,1
13,2218,1
2218,1,1
4,14,1
14,4246,1
4246,1,1
4,15,1
15,901,1
901,1,1
4,16,1
16,61,1
61,1,1
4,17,1
17,264,1
264,1,1
5,1,1
1,5786,1
5786,1,1
5,2,1
2,2736,1
2736,1,1
5,3,1
3,849,1
849,1,1
5,4,1
4,799,1
799,1,1
5,118897,1
118897,1,1
5,6,1
6,2223,1
2223,1,1
5,7,1
7,327,1
327,1,1
5,8,1
8,888,1
888,1,1
5,9,1
9,1346,1
1346,1,1
5,10,1
10,534,1
534,1,1
5,11,1
11,771,1
771,1,1
5,12,1
12,640,1
640,1,1
5,13,1
13,163,1
163,1,1
5,14,1
14,631,1
631,1,1
5,15,1
15,1763,1
1763,1,1
5,16,1
16,244,1
244,1,1
5,17,1
17,75,1
75,1,1
6,1,1
1,18175,1
18175,1,1
6,2,1
2,10710,1
10710,1,1
6,3,1
3,5928,1
5928,1,1
6,4,1
4,7074,1
7074,1,1
6,5,1
5,2770,1
2770,1,1
6,143733,1
143733,1,1
6,7,1
7,36781,1
36781,1,1
6,8,1
8,4433,1
4433,1,1
6,9,1
9,7672,1
7672,1,1
6,10,1
10,6437,1
6437,1,1
6,11,1
11,2807,1
6,12,1
12,4059,1
4059,1,1
6,13,1
13,2813,1
2813,1,1
6,14,1
14,3429,1
3429,1,1
6,15,1
15,11516,1
11516,1,1
6,16,1
16,366,1
366,1,1
6,17,1
17,202,1
202,1,1
7,1,1
1,25214,1
25214,1,1
7,2,1
2,3266,1
3266,1,1
7,3,1
3,811,1
811,1,1
7,4,1
4,32921,1
32921,1,1
7,5,1
5,302,1
7,6,1
6,29206,1
29206,1,1
7,177487,1
177487,1,1
7,8,1
8,1021,1
1021,1,1
7,9,1
9,7399,1
7399,1,1
7,10,1
10,2069,1
2069,1,1
7,11,1
11,453,1
453,1,1
7,12,1
12,955,1
955,1,1
7,13,1
13,7983,1
7983,1,1
7,14,1
14,2719,1
2719,1,1
7,15,1
15,930,1
930,1,1
7,16,1
16,28,1
28,1,1
7,17,1
17,126,1
126,1,1
1,6241,1
6241,1,1
8,2,1
2,8169,1
8169,1,1
8,3,1
3,1475,1
1475,1,1
8,4,1
4,3350,1
3350,1,1
8,5,1
5,942,1
942,1,1
8,6,1
6,3225,1
3225,1,1
8,7,1
7,2581,1
2581,1,1
8,329097,1
329097,1,1
8,9,1
9,3100,1
3100,1,1
8,10,1
10,1005,1
1005,1,1
8,11,1
11,987,1
987,1,1
8,12,1
12,1319,1
1319,1,1
8,13,1
13,1857,1
1857,1,1
8,14,1
14,2372,1
2372,1,1
8,15,1
15,302,1
8,17,1
17,81,1
81,1,1
1,10065,1
10065,1,1
9,2,1
2,4204,1
4204,1,1
9,3,1
3,5304,1
5304,1,1
9,4,1
4,9981,1
9981,1,1
9,5,1
5,2807,1
9,6,1
6,3786,1
3786,1,1
9,7,1
7,9541,1
9541,1,1
9,8,1
8,4718,1
4718,1,1
9,80554,1
80554,1,1
9,10,1
10,1090,1
1090,1,1
9,11,1
11,2046,1
2046,1,1
9,12,1
12,4049,1
4049,1,1
9,13,1
13,5070,1
5070,1,1
9,14,1
14,672,1
672,1,1
9,15,1
15,44,1
44,1,1
9,16,1
9,17,1
10,1,1
1,11945,1
11945,1,1
10,2,1
2,7165,1
7165,1,1
10,3,1
