From,To,Weight,Level,Method,IsRootedBranching
SOURCE,e,289,1,networkx_arborescence,True
SOURCE,p,1,1,networkx_arborescence,True
e,1,17,2,networkx_arborescence,True
e,10,17,2,networkx_arborescence,True
e,11,17,2,networkx_arborescence,True
e,12,17,2,networkx_arborescence,True
e,13,17,2,networkx_arborescence,True
e,14,17,2,networkx_arborescence,True
e,15,17,2,networkx_arborescence,True
e,16,17,2,networkx_arborescence,True
e,17,17,2,networkx_arborescence,True
e,2,17,2,networkx_arborescence,True
e,3,17,2,networkx_arborescence,True
e,4,17,2,networkx_arborescence,True
e,5,17,2,networkx_arborescence,True
e,6,17,2,networkx_arborescence,True
e,7,17,2,networkx_arborescence,True
e,8,17,2,networkx_arborescence,True
e,9,17,2,networkx_arborescence,True
p,40,1,2,networkx_arborescence,True
1,10065,1,3,networkx_arborescence,True
1,11945,1,3,networkx_arborescence,True
1,16518,1,3,networkx_arborescence,True
1,18175,1,3,networkx_arborescence,True
1,19014,1,3,networkx_arborescence,True
1,21565,1,3,networkx_arborescence,True
1,25214,1,3,networkx_arborescence,True
1,26362,1,3,networkx_arborescence,True
1,27158,1,3,networkx_arborescence,True
1,2898,1,3,networkx_arborescence,True
1,3514,1,3,networkx_arborescence,True
1,3707,1,3,networkx_arborescence,True
1,418754,1,3,networkx_arborescence,True
1,45475,1,3,networkx_arborescence,True
1,5786,1,3,networkx_arborescence,True
1,6241,1,3,networkx_arborescence,True
1,691,1,3,networkx_arborescence,True
10,1005,1,3,networkx_arborescence,True
10,106,1,3,networkx_arborescence,True
10,1090,1,3,networkx_arborescence,True
10,1615,1,3,networkx_arborescence,True
10,18870,1,3,networkx_arborescence,True
10,2069,1,3,networkx_arborescence,True
10,2414,1,3,networkx_arborescence,True
10,2503,1,3,networkx_arborescence,True
10,2554,1,3,networkx_arborescence,True
10,281,1,3,networkx_arborescence,True
10,2848,1,3,networkx_arborescence,True
10,49,1,3,networkx_arborescence,True
10,534,1,3,networkx_arborescence,True
10,6437,1,3,networkx_arborescence,True
10,67454,1,3,networkx_arborescence,True
10,7681,1,3,networkx_arborescence,True
10,954,1,3,networkx_arborescence,True
11,1297,1,3,networkx_arborescence,True
11,1536,1,3,networkx_arborescence,True
11,1605,1,3,networkx_arborescence,True
11,1764,1,3,networkx_arborescence,True
11,18,1,3,networkx_arborescence,True
11,2046,1,3,networkx_arborescence,True
11,2154,1,3,networkx_arborescence,True
11,2489,1,3,networkx_arborescence,True
11,27260,1,3,networkx_arborescence,True
11,2987,1,3,networkx_arborescence,True
11,30492,1,3,networkx_arborescence,True
11,312,1,3,networkx_arborescence,True
11,3491,1,3,networkx_arborescence,True
11,453,1,3,networkx_arborescence,True
11,771,1,3,networkx_arborescence,True
11,987,1,3,networkx_arborescence,True
12,10053,1,3,networkx_arborescence,True
12,1130,1,3,networkx_arborescence,True
12,129732,1,3,networkx_arborescence,True
12,1319,1,3,networkx_arborescence,True
12,1444,1,3,networkx_arborescence,True
12,2209,1,3,networkx_arborescence,True
12,278,1,3,networkx_arborescence,True
12,2864,1,3,networkx_arborescence,True
12,3228,1,3,networkx_arborescence,True
12,4049,1,3,networkx_arborescence,True
12,4059,1,3,networkx_arborescence,True
12,41210,1,3,networkx_arborescence,True
12,4188,1,3,networkx_arborescence,True
12,50,1,3,networkx_arborescence,True
12,623,1,3,networkx_arborescence,True
12,640,1,3,networkx_arborescence,True
12,955,1,3,networkx_arborescence,True
13,118967,1,3,networkx_arborescence,True
13,154,1,3,networkx_arborescence,True
13,1628,1,3,networkx_arborescence,True
13,163,1,3,networkx_arborescence,True
13,1857,1,3,networkx_arborescence,True
13,2218,1,3,networkx_arborescence,True
13,2813,1,3,networkx_arborescence,True
13,318,1,3,networkx_arborescence,True
13,427,1,3,networkx_arborescence,True
13,5070,1,3,networkx_arborescence,True
13,65,1,3,networkx_arborescence,True
13,727,1,3,networkx_arborescence,True
13,7983,1,3,networkx_arborescence,True
13,947,1,3,networkx_arborescence,True
13,9730,1,3,networkx_arborescence,True
14,1141,1,3,networkx_arborescence,True
14,1355,1,3,networkx_arborescence,True
14,1762,1,3,networkx_arborescence,True
14,18089,1,3,networkx_arborescence,True
14,2372,1,3,networkx_arborescence,True
14,252270,1,3,networkx_arborescence,True
14,262,1,3,networkx_arborescence,True
14,2715,1,3,networkx_arborescence,True
14,2719,1,3,networkx_arborescence,True
14,3429,1,3,networkx_arborescence,True
14,35992,1,3,networkx_arborescence,True
14,402,1,3,networkx_arborescence,True
14,4246,1,3,networkx_arborescence,True
14,5323,1,3,networkx_arborescence,True
14,631,1,3,networkx_arborescence,True
14,672,1,3,networkx_arborescence,True
14,8527,1,3,networkx_arborescence,True
15,11516,1,3,networkx_arborescence,True
15,1251,1,3,networkx_arborescence,True
15,13449,1,3,networkx_arborescence,True
15,145,1,3,networkx_arborescence,True
15,1471,1,3,networkx_arborescence,True
15,1763,1,3,networkx_arborescence,True
15,2249,1,3,networkx_arborescence,True
15,2676,1,3,networkx_arborescence,True
15,44,1,3,networkx_arborescence,True
15,5738,1,3,networkx_arborescence,True
15,5870,1,3,networkx_arborescence,True
15,828,1,3,networkx_arborescence,True
15,901,1,3,networkx_arborescence,True
15,930,1,3,networkx_arborescence,True
16,1049,1,3,networkx_arborescence,True
16,181,1,3,networkx_arborescence,True
16,21,1,3,networkx_arborescence,True
16,22144,1,3,networkx_arborescence,True
16,244,1,3,networkx_arborescence,True
16,26,1,3,networkx_arborescence,True
16,28,1,3,networkx_arborescence,True
16,29,2,3,networkx_arborescence,True
16,34,1,3,networkx_arborescence,True
16,366,1,3,networkx_arborescence,True
16,508,1,3,networkx_arborescence,True
16,61,1,3,networkx_arborescence,True
16,67,1,3,networkx_arborescence,True
17,126,1,3,networkx_arborescence,True
17,156,1,3,networkx_arborescence,True
17,202,1,3,networkx_arborescence,True
17,239,1,3,networkx_arborescence,True
17,245,1,3,networkx_arborescence,True
17,264,1,3,networkx_arborescence,True
17,279,1,3,networkx_arborescence,True
17,2927,1,3,networkx_arborescence,True
17,4443,1,3,networkx_arborescence,True
17,5038,1,3,networkx_arborescence,True
17,654,1,3,networkx_arborescence,True
17,696,1,3,networkx_arborescence,True
17,75,1,3,networkx_arborescence,True
17,81,1,3,networkx_arborescence,True
2,10710,1,3,networkx_arborescence,True
2,11300,1,3,networkx_arborescence,True
2,191,1,3,networkx_arborescence,True
2,222134,1,3,networkx_arborescence,True
2,223,1,3,networkx_arborescence,True
2,2736,1,3,networkx_arborescence,True
2,3266,1,3,networkx_arborescence,True
2,3991,1,3,networkx_arborescence,True
2,4204,1,3,networkx_arborescence,True
2,4827,1,3,networkx_arborescence,True
2,4951,1,3,networkx_arborescence,True
2,7165,1,3,networkx_arborescence,True
2,73819,1,3,networkx_arborescence,True
2,784,1,3,networkx_arborescence,True
2,7933,1,3,networkx_arborescence,True
2,8169,1,3,networkx_arborescence,True
2,8574,1,3,networkx_arborescence,True
3,10838,1,3,networkx_arborescence,True
3,1475,1,3,networkx_arborescence,True
3,1816,1,3,networkx_arborescence,True
3,23795,1,3,networkx_arborescence,True
3,2408,1,3,networkx_arborescence,True
3,2557,1,3,networkx_arborescence,True
3,2825,1,3,networkx_arborescence,True
3,32,1,3,networkx_arborescence,True
3,3629,1,3,networkx_arborescence,True
3,370,1,3,networkx_arborescence,True
3,5304,1,3,networkx_arborescence,True
3,5677,1,3,networkx_arborescence,True
3,5928,1,3,networkx_arborescence,True
3,601,1,3,networkx_arborescence,True
3,71883,1,3,networkx_arborescence,True
3,811,1,3,networkx_arborescence,True
3,849,1,3,networkx_arborescence,True
4,1043,1,3,networkx_arborescence,True
4,11168,1,3,networkx_arborescence,True
