From,To,Weight,Level,Direction,Method
e,1,17,0,INITIAL,ramex_back_forward_polytree_formal
e,10,17,1,FORWARD,ramex_back_forward_polytree_formal
e,11,17,1,FORWARD,ramex_back_forward_polytree_formal
e,12,17,1,FORWARD,ramex_back_forward_polytree_formal
e,13,17,1,FORWARD,ramex_back_forward_polytree_formal
e,14,17,1,FORWARD,ramex_back_forward_polytree_formal
e,15,17,1,FORWARD,ramex_back_forward_polytree_formal
e,16,17,1,FORWARD,ramex_back_forward_polytree_formal
e,17,17,1,FORWARD,ramex_back_forward_polytree_formal
e,2,17,1,FORWARD,ramex_back_forward_polytree_formal
e,3,17,1,FORWARD,ramex_back_forward_polytree_formal
e,4,17,1,FORWARD,ramex_back_forward_polytree_formal
e,5,17,1,FORWARD,ramex_back_forward_polytree_formal
e,6,17,1,FORWARD,ramex_back_forward_polytree_formal
e,7,17,1,FORWARD,ramex_back_forward_polytree_formal
e,8,17,1,FORWARD,ramex_back_forward_polytree_formal
e,9,17,1,FORWARD,ramex_back_forward_polytree_formal
18,1,2,2,BACKWARD,ramex_back_forward_polytree_formal
2807,1,2,2,BACKWARD,ramex_back_forward_polytree_formal
29,1,2,2,BACKWARD,ramex_back_forward_polytree_formal
302,1,2,2,BACKWARD,ramex_back_forward_polytree_formal
45,1,2,2,BACKWARD,ramex_back_forward_polytree_formal
1005,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
10053,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
10065,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
1021,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
1022,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
1043,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
1049,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
106,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
10710,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
10838,1,1,2,BACKWARD,ramex_back_forward_polytree_formal
