From,To,Weight,Level
e,1,17,1
e,10,17,1
e,11,17,1
e,12,17,1
e,13,17,1
e,14,17,1
e,15,17,1
e,16,17,1
e,17,17,1
e,2,17,1
e,3,17,1
e,4,17,1
e,5,17,1
e,6,17,1
e,7,17,1
e,8,17,1
e,9,17,1
16,29,2,2
1,10065,1,2
1,11945,1,2
1,16518,1,2
1,18175,1,2
1,19014,1,2
1,21565,1,2
1,25214,1,2
1,26362,1,2
1,27158,1,2
1,2898,1,2
1,3514,1,2
1,3707,1,2
1,418754,1,2
1,45475,1,2
1,5786,1,2
1,6241,1,2
1,691,1,2
10,1005,1,2
10,106,1,2
10,1090,1,2
10,1615,1,2
10,18870,1,2
10,2069,1,2
10,2414,1,2
10,2503,1,2
10,2554,1,2
10,281,1,2
10,2848,1,2
10,49,1,2
10,534,1,2
10,6437,1,2
10,67454,1,2
10,7681,1,2
10,954,1,2
11,1297,1,2
11,1536,1,2
11,1605,1,2
11,1764,1,2
11,18,1,2
11,2046,1,2
11,2154,1,2
11,2489,1,2
11,27260,1,2
11,2807,1,2
11,2987,1,2
11,30492,1,2
11,312,1,2
11,3491,1,2
11,453,1,2
11,771,1,2
11,987,1,2
12,10053,1,2
12,1130,1,2
12,129732,1,2
12,1319,1,2
12,1444,1,2
12,2209,1,2
12,278,1,2
12,2864,1,2
12,3228,1,2
12,4049,1,2
12,4059,1,2
12,41210,1,2
12,4188,1,2
12,50,1,2
12,623,1,2
12,640,1,2
12,955,1,2
13,118967,1,2
13,154,1,2
13,1628,1,2
13,163,1,2
13,1857,1,2
13,2218,1,2
13,2813,1,2
13,318,1,2
13,427,1,2
13,5070,1,2
13,65,1,2
13,727,1,2
13,7983,1,2
13,947,1,2
13,9730,1,2
14,1141,1,2
14,1355,1,2
14,1762,1,2
14,18089,1,2
14,2372,1,2
14,252270,1,2
14,262,1,2
14,2715,1,2
14,2719,1,2
14,3429,1,2
14,35992,1,2
14,402,1,2
14,4246,1,2
14,5323,1,2
14,631,1,2
14,672,1,2
14,8527,1,2
15,11516,1,2
15,1251,1,2
15,13449,1,2
15,145,1,2
15,1471,1,2
15,1763,1,2
15,2249,1,2
15,2676,1,2
15,302,1,2
15,44,1,2
15,45,1,2
15,5738,1,2
15,5870,1,2
15,828,1,2
15,901,1,2
15,930,1,2
16,1049,1,2
16,181,1,2
16,21,1,2
16,22144,1,2
16,244,1,2
16,26,1,2
16,28,1,2
16,34,1,2
16,366,1,2
16,508,1,2
16,61,1,2
16,67,1,2
17,126,1,2
17,156,1,2
17,202,1,2
17,239,1,2
17,245,1,2
17,264,1,2
17,279,1,2
17,2927,1,2
17,4443,1,2
17,5038,1,2
17,654,1,2
17,696,1,2
17,75,1,2
17,81,1,2
2,10710,1,2
2,11300,1,2
2,191,1,2
2,222134,1,2
2,223,1,2
2,2736,1,2
2,3266,1,2
2,3991,1,2
2,4204,1,2
2,4827,1,2
2,4951,1,2
2,7165,1,2
2,73819,1,2
2,784,1,2
2,7933,1,2
2,8169,1,2
2,8574,1,2
3,10838,1,2
3,1475,1,2
3,1816,1,2
3,23795,1,2
3,2408,1,2
3,2557,1,2
3,2825,1,2
3,32,1,2
3,3629,1,2
3,370,1,2
3,5304,1,2
3,5677,1,2
3,5928,1,2
3,601,1,2
3,71883,1,2
3,811,1,2
3,849,1,2
4,1043,1,2
4,11168,1,2
4,1801,1,2
4,1826,1,2
4,224830,1,2
4,2367,1,2
4,27130,1,2
4,32921,1,2
4,3350,1,2
4,3352,1,2
4,3361,1,2
4,337,1,2
4,3621,1,2
4,7074,1,2
4,799,1,2
4,9981,1,2
5,1022,1,2
5,118897,1,2
5,137,1,2
5,1409,1,2
5,1488,1,2
5,1504,1,2
5,187,1,2
5,2487,1,2
5,2770,1,2
5,3019,1,2
5,567,1,2
5,831,1,2
5,8604,1,2
5,942,1,2
5,99,1,2
6,143733,1,2
6,1501,1,2
6,2179,1,2
6,2223,1,2
6,284,1,2
6,2842,1,2
6,29206,1,2
6,2933,1,2
6,2970,1,2
6,30577,1,2
6,3225,1,2
6,372,1,2
6,3786,1,2
6,4601,1,2
6,5016,1,2
6,6575,1,2
6,9533,1,2
7,1566,1,2
7,177487,1,2
7,2024,1,2
7,2037,1,2
7,21398,1,2
7,2581,1,2
7,27,1,2
7,28117,1,2
7,327,1,2
7,3342,1,2
7,36781,1,2
7,550,1,2
7,6317,1,2
7,641,1,2
7,741,1,2
7,8437,1,2
7,9541,1,2
8,1021,1,2
8,1256,1,2
8,1391,1,2
8,144,1,2
8,1497,1,2
8,2442,1,2
8,329097,1,2
8,4026,1,2
8,429,1,2
8,4433,1,2
8,4718,1,2
8,6562,1,2
8,676,1,2
8,729,1,2
8,8095,1,2
8,888,1,2
9,1172,1,2
9,1231,1,2
9,1346,1,2
9,1470,1,2
9,19,1,2
9,201,1,2
9,2450,1,2
9,3100,1,2
9,3257,1,2
9,3747,1,2
9,4816,1,2
9,5536,1,2
9,66,1,2
9,7293,1,2
9,7399,1,2
9,7672,1,2
9,80554,1,2
