From,To,Weight
Arroz 1kg,Smartphone,13
Smartphone,Café Moído,13
Detergente Roupa,Leite 1L,12
Leite 1L,Portátil,12
Leite 1L,Arroz 1kg,11
Champô,Detergente Roupa,11
Televisão LED,Champô,11
Café Moído,Arroz 1kg,11
Café Moído,Portátil,11
Smartphone,Detergente Roupa,11
Televisão LED,Leite 1L,11
Detergente Roupa,Arroz 1kg,10
Portátil,Champô,10
Café Moído,Champô,10
Smartphone,Leite 1L,9
Arroz 1kg,Detergente Roupa,9
Smartphone,Televisão LED,9
Champô,Portátil,9
Arroz 1kg,Leite 1L,9
Champô,Café Moído,9
Portátil,Café Moído,9
Portátil,Televisão LED,9
Smartphone,Arroz 1kg,8
Café Moído,Smartphone,8
Detergente Roupa,Smartphone,8
Champô,Televisão LED,8
Arroz 1kg,Champô,8
Televisão LED,Smartphone,8
Detergente Roupa,Televisão LED,8
Champô,Arroz 1kg,8
Leite 1L,Smartphone,7
Leite 1L,Café Moído,7
Detergente Roupa,Portátil,7
Champô,Smartphone,7
Detergente Roupa,Café Moído,7
Televisão LED,Café Moído,7
Arroz 1kg,Televisão LED,7
Smartphone,Portátil,6
Portátil,Leite 1L,6
Leite 1L,Televisão LED,6
Televisão LED,Detergente Roupa,6
Portátil,Arroz 1kg,6
Café Moído,Leite 1L,6
Portátil,Smartphone,6
Leite 1L,Detergente Roupa,6
Televisão LED,Arroz 1kg,6
Champô,Leite 1L,6
Arroz 1kg,Café Moído,6
Smartphone,Champô,5
Televisão LED,Portátil,5
Café Moído,Televisão LED,5
Leite 1L,Champô,5
Arroz 1kg,Portátil,5
Portátil,Detergente Roupa,5
Detergente Roupa,Champô,4
Café Moído,Detergente Roupa,3
