From,To,Weight,Level,Method,IsRootedBranching
SOURCE,11.39,1,1,networkx_arborescence,True
SOURCE,15.57,1,1,networkx_arborescence,True
SOURCE,2320.26,1,1,networkx_arborescence,True
SOURCE,35.27,1,1,networkx_arborescence,True
SOURCE,4481.22,1,1,networkx_arborescence,True
SOURCE,5.05,1,1,networkx_arborescence,True
SOURCE,6.12,1,1,networkx_arborescence,True
SOURCE,9.25,1,1,networkx_arborescence,True
11.39,14.52,1,2,networkx_arborescence,True
15.57,1036.01,1,2,networkx_arborescence,True
2320.26,317.56,1,2,networkx_arborescence,True
35.27,19.17,1,2,networkx_arborescence,True
4481.22,427.29,1,2,networkx_arborescence,True
5.05,6.22,1,2,networkx_arborescence,True
6.12,11.27,1,2,networkx_arborescence,True
9.25,4.72,1,2,networkx_arborescence,True
1036.01,1045.42,1,3,networkx_arborescence,True
11.27,7.67,1,3,networkx_arborescence,True
14.52,40.63,1,3,networkx_arborescence,True
19.17,9.58,1,3,networkx_arborescence,True
317.56,367.53,1,3,networkx_arborescence,True
4.72,11.0,1,3,networkx_arborescence,True
427.29,2045.37,1,3,networkx_arborescence,True
6.22,5.76,1,3,networkx_arborescence,True
1045.42,536.82,1,4,networkx_arborescence,True
11.0,1.44,1,4,networkx_arborescence,True
2045.37,73.22,1,4,networkx_arborescence,True
367.53,1136.17,1,4,networkx_arborescence,True
40.63,10.83,1,4,networkx_arborescence,True
5.76,28.43,1,4,networkx_arborescence,True
7.67,22.77,1,4,networkx_arborescence,True
9.58,5.67,1,4,networkx_arborescence,True
1.44,15.04,1,5,networkx_arborescence,True
10.83,21.73,1,5,networkx_arborescence,True
1136.17,932.69,1,5,networkx_arborescence,True
22.77,33.82,1,5,networkx_arborescence,True
28.43,3.44,1,5,networkx_arborescence,True
5.67,7.61,1,5,networkx_arborescence,True
536.82,369.75,1,5,networkx_arborescence,True
73.22,457.97,1,5,networkx_arborescence,True
15.04,9.53,1,6,networkx_arborescence,True
21.73,1.57,1,6,networkx_arborescence,True
3.44,20.04,1,6,networkx_arborescence,True
3.44,3.36,1,6,networkx_arborescence,True
33.82,15.08,1,6,networkx_arborescence,True
369.75,421.75,1,6,networkx_arborescence,True
457.97,621.55,1,6,networkx_arborescence,True
7.61,6.91,1,6,networkx_arborescence,True
932.69,1264.09,1,6,networkx_arborescence,True
1.57,18.07,1,7,networkx_arborescence,True
1264.09,1619.35,1,7,networkx_arborescence,True
15.08,7.62,1,7,networkx_arborescence,True
20.04,14.66,1,7,networkx_arborescence,True
3.36,6.18,1,7,networkx_arborescence,True
421.75,1839.22,1,7,networkx_arborescence,True
621.55,497.33,1,7,networkx_arborescence,True
9.53,8.17,1,7,networkx_arborescence,True
14.66,15.2,1,8,networkx_arborescence,True
1619.35,632.33,1,8,networkx_arborescence,True
18.07,31.48,1,8,networkx_arborescence,True
1839.22,206.17,1,8,networkx_arborescence,True
497.33,324.15,1,8,networkx_arborescence,True
6.18,35.11,1,8,networkx_arborescence,True
6.18,4.61,1,8,networkx_arborescence,True
7.62,11.23,1,8,networkx_arborescence,True
8.17,14.89,1,8,networkx_arborescence,True
11.23,35.29,1,9,networkx_arborescence,True
14.89,7.33,1,9,networkx_arborescence,True
15.2,22.65,1,9,networkx_arborescence,True
15.2,6.99,1,9,networkx_arborescence,True
206.17,3056.06,1,9,networkx_arborescence,True
31.48,17.94,1,9,networkx_arborescence,True
324.15,68.85,1,9,networkx_arborescence,True
35.11,8.98,1,9,networkx_arborescence,True
