From,To,Weight,Level,Direction,Method
16.16,11.32,1,0,INITIAL,ramex_back_forward_polytree_formal
27.06,16.16,1,1,BACKWARD,ramex_back_forward_polytree_formal
3.12,27.06,1,2,BACKWARD,ramex_back_forward_polytree_formal
29.75,3.12,1,3,BACKWARD,ramex_back_forward_polytree_formal
6.05,29.75,1,4,BACKWARD,ramex_back_forward_polytree_formal
13.3,6.05,1,5,BACKWARD,ramex_back_forward_polytree_formal
42.08,13.3,1,6,BACKWARD,ramex_back_forward_polytree_formal
36.76,42.08,1,7,BACKWARD,ramex_back_forward_polytree_formal
35.89,36.76,1,8,BACKWARD,ramex_back_forward_polytree_formal
16.27,35.89,1,9,BACKWARD,ramex_back_forward_polytree_formal
30.74,16.27,1,10,BACKWARD,ramex_back_forward_polytree_formal
43.97,30.74,1,11,BACKWARD,ramex_back_forward_polytree_formal
25.19,43.97,1,12,BACKWARD,ramex_back_forward_polytree_formal
5.04,25.19,1,13,BACKWARD,ramex_back_forward_polytree_formal
5.11,5.04,1,14,BACKWARD,ramex_back_forward_polytree_formal
29.76,5.11,1,15,BACKWARD,ramex_back_forward_polytree_formal
39.65,5.11,1,15,BACKWARD,ramex_back_forward_polytree_formal
5.5,29.76,1,16,BACKWARD,ramex_back_forward_polytree_formal
6.39,5.5,1,17,BACKWARD,ramex_back_forward_polytree_formal
12.91,6.39,1,18,BACKWARD,ramex_back_forward_polytree_formal
3.05,12.91,1,19,BACKWARD,ramex_back_forward_polytree_formal
4.68,3.05,1,20,BACKWARD,ramex_back_forward_polytree_formal
6.56,3.05,1,20,BACKWARD,ramex_back_forward_polytree_formal
1.62,6.56,1,21,BACKWARD,ramex_back_forward_polytree_formal
35.96,1.62,1,22,BACKWARD,ramex_back_forward_polytree_formal
31.72,35.96,1,23,BACKWARD,ramex_back_forward_polytree_formal
2.75,31.72,1,24,BACKWARD,ramex_back_forward_polytree_formal
32.23,2.75,1,25,BACKWARD,ramex_back_forward_polytree_formal
7.4,32.23,1,26,BACKWARD,ramex_back_forward_polytree_formal
5.25,7.4,1,27,BACKWARD,ramex_back_forward_polytree_formal
29.72,5.25,1,28,BACKWARD,ramex_back_forward_polytree_formal
15.1,29.72,1,29,BACKWARD,ramex_back_forward_polytree_formal
25.63,15.1,1,30,BACKWARD,ramex_back_forward_polytree_formal
34.18,25.63,1,31,BACKWARD,ramex_back_forward_polytree_formal
38.06,34.18,1,32,BACKWARD,ramex_back_forward_polytree_formal
7.0,38.06,1,33,BACKWARD,ramex_back_forward_polytree_formal
7.31,7.0,1,34,BACKWARD,ramex_back_forward_polytree_formal
7.7,7.31,1,35,BACKWARD,ramex_back_forward_polytree_formal
4.24,7.7,1,36,BACKWARD,ramex_back_forward_polytree_formal
32.3,4.24,1,37,BACKWARD,ramex_back_forward_polytree_formal
21.46,32.3,1,38,BACKWARD,ramex_back_forward_polytree_formal
2.79,21.46,1,39,BACKWARD,ramex_back_forward_polytree_formal
18.29,2.79,1,40,BACKWARD,ramex_back_forward_polytree_formal
14.92,18.29,1,41,BACKWARD,ramex_back_forward_polytree_formal
7.85,4.68,1,21,BACKWARD,ramex_back_forward_polytree_formal
1.47,7.85,1,22,BACKWARD,ramex_back_forward_polytree_formal
2.44,1.47,1,23,BACKWARD,ramex_back_forward_polytree_formal
28.91,2.44,1,24,BACKWARD,ramex_back_forward_polytree_formal
15.97,28.91,1,25,BACKWARD,ramex_back_forward_polytree_formal
2.51,15.97,1,26,BACKWARD,ramex_back_forward_polytree_formal
5.15,2.51,1,27,BACKWARD,ramex_back_forward_polytree_formal
3.26,5.15,1,28,BACKWARD,ramex_back_forward_polytree_formal
25.61,3.26,1,29,BACKWARD,ramex_back_forward_polytree_formal
15.43,25.61,1,30,BACKWARD,ramex_back_forward_polytree_formal
35.29,15.43,1,31,BACKWARD,ramex_back_forward_polytree_formal
11.23,35.29,1,32,BACKWARD,ramex_back_forward_polytree_formal
7.62,11.23,1,33,BACKWARD,ramex_back_forward_polytree_formal
15.08,7.62,1,34,BACKWARD,ramex_back_forward_polytree_formal
33.82,15.08,1,35,BACKWARD,ramex_back_forward_polytree_formal
22.77,33.82,1,36,BACKWARD,ramex_back_forward_polytree_formal
7.67,22.77,1,37,BACKWARD,ramex_back_forward_polytree_formal
11.27,7.67,1,38,BACKWARD,ramex_back_forward_polytree_formal
6.12,11.27,1,39,BACKWARD,ramex_back_forward_polytree_formal
8.18,39.65,1,16,BACKWARD,ramex_back_forward_polytree_formal
