From,To,Weight,Level,Method
15.2,22.65,1,1,ramex_forward_heuristic
15.2,6.99,1,1,ramex_forward_heuristic
22.65,12.4,1,2,ramex_forward_heuristic
6.99,6.13,1,2,ramex_forward_heuristic
12.4,19.3,1,3,ramex_forward_heuristic
6.13,29.96,1,3,ramex_forward_heuristic
19.3,25.11,1,4,ramex_forward_heuristic
29.96,45.96,1,4,ramex_forward_heuristic
25.11,1750.73,1,5,ramex_forward_heuristic
45.96,10.09,1,5,ramex_forward_heuristic
10.09,7.86,1,6,ramex_forward_heuristic
1750.73,459.05,1,6,ramex_forward_heuristic
459.05,2044.44,1,7,ramex_forward_heuristic
7.86,19.89,1,7,ramex_forward_heuristic
19.89,10.87,1,8,ramex_forward_heuristic
19.89,4.66,1,8,ramex_forward_heuristic
2044.44,2313.38,1,8,ramex_forward_heuristic
10.87,17.96,1,9,ramex_forward_heuristic
2313.38,44.99,1,9,ramex_forward_heuristic
4.66,30.73,1,9,ramex_forward_heuristic
17.96,1.29,1,10,ramex_forward_heuristic
30.73,16.94,1,10,ramex_forward_heuristic
30.73,9.2,1,10,ramex_forward_heuristic
44.99,3193.62,1,10,ramex_forward_heuristic
1.29,14.12,1,11,ramex_forward_heuristic
16.94,10.86,1,11,ramex_forward_heuristic
3193.62,588.42,1,11,ramex_forward_heuristic
10.86,13.85,1,12,ramex_forward_heuristic
588.42,1959.89,1,12,ramex_forward_heuristic
13.85,20.25,1,13,ramex_forward_heuristic
1959.89,367.23,1,13,ramex_forward_heuristic
20.25,5.57,1,14,ramex_forward_heuristic
367.23,2205.52,1,14,ramex_forward_heuristic
2205.52,1351.33,1,15,ramex_forward_heuristic
5.57,4.56,1,15,ramex_forward_heuristic
1351.33,3955.96,1,16,ramex_forward_heuristic
4.56,3.15,1,16,ramex_forward_heuristic
4.56,7.19,1,16,ramex_forward_heuristic
3.15,1.69,1,17,ramex_forward_heuristic
3955.96,108.62,1,17,ramex_forward_heuristic
7.19,13.09,1,17,ramex_forward_heuristic
1.69,3.71,1,18,ramex_forward_heuristic
108.62,2652.09,1,18,ramex_forward_heuristic
13.09,14.78,1,18,ramex_forward_heuristic
14.78,10.38,1,19,ramex_forward_heuristic
2652.09,3645.41,1,19,ramex_forward_heuristic
3.71,44.75,1,19,ramex_forward_heuristic
10.38,8.42,1,20,ramex_forward_heuristic
3645.41,1501.44,1,20,ramex_forward_heuristic
44.75,13.08,1,20,ramex_forward_heuristic
13.08,29.5,1,21,ramex_forward_heuristic
1501.44,566.47,1,21,ramex_forward_heuristic
8.42,35.94,1,21,ramex_forward_heuristic
29.5,29.62,1,22,ramex_forward_heuristic
35.94,17.28,1,22,ramex_forward_heuristic
566.47,2396.73,1,22,ramex_forward_heuristic
17.28,17.3,1,23,ramex_forward_heuristic
2396.73,1524.49,1,23,ramex_forward_heuristic
29.62,7.23,1,23,ramex_forward_heuristic
1524.49,1775.86,1,24,ramex_forward_heuristic
17.3,7.71,1,24,ramex_forward_heuristic
7.23,29.92,1,24,ramex_forward_heuristic
1775.86,127.72,1,25,ramex_forward_heuristic
29.92,5.19,1,25,ramex_forward_heuristic
7.71,16.48,1,25,ramex_forward_heuristic
127.72,589.98,1,26,ramex_forward_heuristic
16.48,22.5,1,26,ramex_forward_heuristic
5.19,12.16,1,26,ramex_forward_heuristic
12.16,44.54,1,27,ramex_forward_heuristic
22.5,26.58,1,27,ramex_forward_heuristic
589.98,1081.95,1,27,ramex_forward_heuristic
1081.95,813.52,1,28,ramex_forward_heuristic
26.58,8.09,1,28,ramex_forward_heuristic
44.54,6.38,1,28,ramex_forward_heuristic
6.38,6.49,1,29,ramex_forward_heuristic
8.09,4.26,1,29,ramex_forward_heuristic
813.52,1934.72,1,29,ramex_forward_heuristic
1934.72,13.71,1,30,ramex_forward_heuristic
4.26,9.1,1,30,ramex_forward_heuristic
6.49,4.73,1,30,ramex_forward_heuristic
13.71,199.1,1,31,ramex_forward_heuristic
4.73,12.33,1,31,ramex_forward_heuristic
9.1,28.49,1,31,ramex_forward_heuristic
12.33,13.07,1,32,ramex_forward_heuristic
199.1,750.74,1,32,ramex_forward_heuristic
28.49,17.57,1,32,ramex_forward_heuristic
13.07,23.34,1,33,ramex_forward_heuristic
17.57,6.84,1,33,ramex_forward_heuristic
750.74,617.0,1,33,ramex_forward_heuristic
23.34,12.48,1,34,ramex_forward_heuristic
617.0,654.38,1,34,ramex_forward_heuristic
12.48,9.08,1,35,ramex_forward_heuristic
654.38,1671.32,1,35,ramex_forward_heuristic
9.08,2.16,1,36,ramex_forward_heuristic
2.16,6.25,1,37,ramex_forward_heuristic
6.25,29.8,1,38,ramex_forward_heuristic
29.8,33.07,1,39,ramex_forward_heuristic
33.07,16.8,1,40,ramex_forward_heuristic
16.8,14.27,1,41,ramex_forward_heuristic
14.27,11.15,1,42,ramex_forward_heuristic
11.15,16.39,1,43,ramex_forward_heuristic
16.39,22.98,1,44,ramex_forward_heuristic
22.98,3.57,1,45,ramex_forward_heuristic
3.57,27.77,1,46,ramex_forward_heuristic
27.77,26.44,1,47,ramex_forward_heuristic
26.44,19.83,1,48,ramex_forward_heuristic
19.83,10.8,1,49,ramex_forward_heuristic
