From,To,Weight,Level
11.35,46.06,1,1
11.35,7.05,1,1
46.06,8.97,1,2
7.05,10.03,1,2
10.03,37.61,1,3
37.61,48.54,1,4
48.54,18.2,1,5
18.2,20.05,1,6
20.05,11.72,1,7
11.72,34.96,1,8
34.96,3.82,1,9
3.82,9.57,1,10
7.05,18.09,1,2
18.09,5.29,1,3
5.29,7.96,1,4
7.96,6.86,1,5
6.86,31.92,1,6
31.92,6.82,1,7
6.82,33.78,1,8
33.78,23.1,1,9
23.1,11.59,1,10
11.59,30.73,1,11
30.73,16.94,1,12
16.94,10.86,1,13
10.86,13.85,1,14
13.85,20.25,1,15
20.25,5.57,1,16
30.73,9.2,1,12
5.57,4.56,1,17
4.56,3.15,1,18
3.15,1.69,1,19
1.69,3.71,1,20
3.71,44.75,1,21
4.56,7.19,1,18
44.75,13.08,1,22
13.08,29.5,1,23
29.5,29.62,1,24
29.62,7.23,1,25
6.86,8.05,1,6
7.19,13.09,1,19
13.09,14.78,1,20
14.78,10.38,1,21
10.38,8.42,1,22
7.23,29.92,1,26
29.92,5.19,1,27
5.19,12.16,1,28
12.16,44.54,1,29
44.54,6.38,1,30
6.38,6.49,1,31
6.49,4.73,1,32
4.73,12.33,1,33
12.33,13.07,1,34
13.07,23.34,1,35
23.34,12.48,1,36
12.48,9.08,1,37
8.05,3.56,1,7
3.56,5.61,1,8
5.61,3.93,1,9
3.93,10.31,1,10
10.31,4.25,1,11
4.25,27.42,1,12
27.42,28.28,1,13
28.28,4.22,1,14
4.22,11.37,1,15
11.37,47.79,1,16
47.79,5.12,1,17
5.12,14.41,1,18
14.41,8.4,1,19
5.61,35.14,1,9
35.14,16.26,1,10
16.26,7.16,1,11
7.16,6.45,1,12
6.45,3.11,1,13
3.11,19.05,1,14
19.05,35.0,1,15
35.0,41.2,1,16
41.2,25.66,1,17
25.66,36.57,1,18
36.57,9.02,1,19
8.4,31.75,1,20
31.75,15.05,1,21
15.05,25.69,1,22
25.69,21.85,1,23
21.85,13.4,1,24
8.42,35.94,1,23
35.94,17.28,1,24
17.28,17.3,1,25
17.3,7.71,1,26
7.71,16.48,1,27
16.48,22.5,1,28
22.5,26.58,1,29
26.58,8.09,1,30
8.09,4.26,1,31
4.26,9.1,1,32
8.97,19.2,1,3
19.2,19.83,1,4
19.83,10.8,1,5
10.8,6.32,1,6
6.32,4.14,1,7
4.14,2.65,1,8
2.65,27.51,1,9
27.51,11.01,1,10
11.01,21.04,1,11
21.04,4.27,1,12
4.27,13.11,1,13
13.11,6.66,1,14
6.66,19.86,1,15
19.86,16.72,1,16
16.72,18.63,1,17
18.63,6.18,1,18
6.18,35.11,1,19
35.11,8.98,1,20
6.18,4.61,1,19
4.61,30.94,1,20
30.94,19.35,1,21
19.35,17.26,1,22
17.26,19.89,1,23
19.89,10.87,1,24
10.87,17.96,1,25
17.96,1.29,1,26
1.29,14.12,1,27
19.89,4.66,1,24
6.66,6.92,1,15
6.92,47.2,1,16
8.98,6.9,1,21
6.9,28.41,1,22
28.41,8.58,1,23
8.58,14.92,1,24
14.92,18.29,1,25
18.29,2.79,1,26
2.79,21.46,1,27
21.46,32.3,1,28
32.3,4.24,1,29
4.24,7.7,1,30
7.7,7.31,1,31
7.31,7.0,1,32
7.0,38.06,1,33
38.06,34.18,1,34
34.18,25.63,1,35
25.63,15.1,1,36
15.1,29.72,1,37
29.72,5.25,1,38
5.25,7.4,1,39
7.4,32.23,1,40
32.23,2.75,1,41
2.75,31.72,1,42
31.72,35.96,1,43
35.96,1.62,1,44
1.62,6.56,1,45
6.56,3.05,1,46
3.05,12.91,1,47
12.91,6.39,1,48
3.05,9.15,1,47
6.39,5.5,1,49
5.5,29.76,1,50
29.76,5.11,1,51
5.11,30.31,1,52
30.31,12.94,1,53
12.94,43.42,1,54
43.42,4.82,1,55
4.82,25.96,1,56
5.11,5.04,1,52
5.04,25.19,1,53
25.19,43.97,1,54
43.97,30.74,1,55
30.74,16.27,1,56
16.27,35.89,1,57
35.89,36.76,1,58
36.76,42.08,1,59
42.08,13.3,1,60
13.3,6.05,1,61
6.05,29.75,1,62
29.75,3.12,1,63
3.12,27.06,1,64
27.06,16.16,1,65
16.16,11.32,1,66
11.32,18.41,1,67
18.41,15.48,1,68
15.48,5.14,1,69
5.14,15.06,1,70
15.06,12.31,1,71
12.31,15.95,1,72
15.95,23.24,1,73
23.24,43.16,1,74
43.16,17.42,1,75
17.42,8.18,1,76
8.18,39.65,1,77
9.02,4.6,1,20
4.6,4.18,1,21
4.18,7.3,1,22
7.3,31.09,1,23
31.09,15.2,1,24
15.2,22.65,1,25
15.2,6.99,1,25
22.65,12.4,1,26
12.4,19.3,1,27
19.3,25.11,1,28
25.11,1750.73,1,29
1750.73,459.05,1,30
459.05,2044.44,1,31
2044.44,2313.38,1,32
2313.38,44.99,1,33
44.99,3193.62,1,34
3193.62,588.42,1,35
588.42,1959.89,1,36
1959.89,367.23,1,37
367.23,2205.52,1,38
2205.52,1351.33,1,39
1351.33,3955.96,1,40
3955.96,108.62,1,41
108.62,2652.09,1,42
2652.09,3645.41,1,43
3645.41,1501.44,1,44
1501.44,566.47,1,45
566.47,2396.73,1,46
2396.73,1524.49,1,47
1524.49,1775.86,1,48
1775.86,127.72,1,49
127.72,589.98,1,50
589.98,1081.95,1,51
1081.95,813.52,1,52
6.99,6.13,1,26
6.13,29.96,1,27
29.96,45.96,1,28
45.96,10.09,1,29
10.09,7.86,1,30
813.52,1934.72,1,53
1934.72,13.71,1,54
13.71,199.1,1,55
199.1,750.74,1,56
750.74,617.0,1,57
617.0,654.38,1,58
654.38,1671.32,1,59
9.08,2.16,1,38
2.16,6.25,1,39
6.25,29.8,1,40
29.8,33.07,1,41
33.07,16.8,1,42
16.8,14.27,1,43
14.27,11.15,1,44
11.15,16.39,1,45
16.39,22.98,1,46
22.98,3.57,1,47
3.57,27.77,1,48
27.77,26.44,1,49
9.1,28.49,1,33
28.49,17.57,1,34
17.57,6.84,1,35
9.15,40.41,1,48
40.41,22.15,1,49
22.15,38.35,1,50
38.35,15.98,1,51
15.98,36.82,1,52
36.82,6.68,1,53
6.68,7.42,1,54
6.68,8.85,1,54
7.42,33.79,1,55
33.79,40.05,1,56
40.05,28.0,1,57
28.0,4.57,1,58
40.05,4.55,1,57
4.55,3.44,1,58
3.44,20.04,1,59
20.04,14.66,1,60
3.44,3.36,1,59
8.85,38.81,1,55
38.81,7.11,1,56
7.11,23.13,1,57
23.13,8.86,1,58
7.11,9.48,1,57
8.86,8.93,1,59
8.93,1.53,1,60
1.53,7.48,1,61
7.48,3.63,1,62
3.63,2.48,1,63
2.48,38.21,1,64
38.21,1.41,1,65
1.41,4.52,1,66
4.52,3.2,1,67
3.2,34.78,1,68
34.78,7.01,1,69
7.01,1.83,1,70
1.83,7.89,1,71
9.57,17.63,1,11
17.63,16.77,1,12
16.77,26.09,1,13
26.09,38.97,1,14
38.97,18.69,1,15
