From,To,Weight,RelativeWeight,Rank
Alarme_Falha,Intervencao_Manual,1,100.0,1
Alarme_Nivel_Alto,Valvula_Abre,2,100.0,1
Bomba_ON,Fluxo_Aumenta,9,81.81818181818183,1
Bomba_ON,Falha_Bomba,1,9.090909090909092,2
Bomba_ON,Pressao_Sobe,1,9.090909090909092,3
Falha_Bomba,Alarme_Falha,3,100.0,1
Fluxo_Aumenta,Pressao_Sobe,7,53.84615384615385,1
Fluxo_Aumenta,Nivel_Sobe,5,38.46153846153847,2
Fluxo_Aumenta,Falha_Bomba,1,7.6923076923076925,3
Nivel_Sobe,Valvula_Abre,4,57.14285714285714,1
Nivel_Sobe,Alarme_Nivel_Alto,3,42.857142857142854,2
Pressao_Sobe,Nivel_Sobe,4,50.0,1
Pressao_Sobe,Valvula_Abre,4,50.0,2
Valvula_Abre,Fluxo_Aumenta,5,100.0,1
