From,To,Weight,Level,Method,IsRootedBranching
150,112,7,1,networkx_arborescence,True
112,158,11,2,networkx_arborescence,True
112,185,10,2,networkx_arborescence,True
112,195,10,2,networkx_arborescence,True
112,78,10,2,networkx_arborescence,True
158,180,8,3,networkx_arborescence,True
185,131,11,3,networkx_arborescence,True
131,44,8,4,networkx_arborescence,True
44,140,10,5,networkx_arborescence,True
140,97,9,6,networkx_arborescence,True
97,42,9,7,networkx_arborescence,True
42,148,10,8,networkx_arborescence,True
148,176,10,9,networkx_arborescence,True
148,186,8,9,networkx_arborescence,True
148,41,12,9,networkx_arborescence,True
148,51,9,9,networkx_arborescence,True
176,25,9,10,networkx_arborescence,True
176,31,9,10,networkx_arborescence,True
186,153,10,10,networkx_arborescence,True
41,12,9,10,networkx_arborescence,True
41,124,11,10,networkx_arborescence,True
41,139,14,10,networkx_arborescence,True
51,149,9,10,networkx_arborescence,True
139,164,8,11,networkx_arborescence,True
139,187,8,11,networkx_arborescence,True
139,53,8,11,networkx_arborescence,True
139,82,9,11,networkx_arborescence,True
25,182,12,11,networkx_arborescence,True
164,190,8,12,networkx_arborescence,True
187,96,9,12,networkx_arborescence,True
53,167,9,12,networkx_arborescence,True
167,161,10,13,networkx_arborescence,True
190,34,10,13,networkx_arborescence,True
161,63,9,14,networkx_arborescence,True
63,92,9,15,networkx_arborescence,True
92,68,9,16,networkx_arborescence,True
68,163,9,17,networkx_arborescence,True
163,11,10,18,networkx_arborescence,True
163,165,11,18,networkx_arborescence,True
11,46,9,19,networkx_arborescence,True
11,62,10,19,networkx_arborescence,True
165,130,8,19,networkx_arborescence,True
165,183,9,19,networkx_arborescence,True
130,129,9,20,networkx_arborescence,True
130,175,9,20,networkx_arborescence,True
130,33,7,20,networkx_arborescence,True
130,50,11,20,networkx_arborescence,True
130,9,12,20,networkx_arborescence,True
46,66,10,20,networkx_arborescence,True
62,118,9,20,networkx_arborescence,True
62,169,13,20,networkx_arborescence,True
62,95,9,20,networkx_arborescence,True
118,100,9,21,networkx_arborescence,True
118,113,8,21,networkx_arborescence,True
118,55,15,21,networkx_arborescence,True
118,73,8,21,networkx_arborescence,True
129,144,8,21,networkx_arborescence,True
129,159,11,21,networkx_arborescence,True
129,67,9,21,networkx_arborescence,True
129,76,10,21,networkx_arborescence,True
169,10,9,21,networkx_arborescence,True
169,196,9,21,networkx_arborescence,True
175,173,9,21,networkx_arborescence,True
33,136,10,21,networkx_arborescence,True
50,126,9,21,networkx_arborescence,True
50,58,9,21,networkx_arborescence,True
9,189,9,21,networkx_arborescence,True
10,119,9,22,networkx_arborescence,True
100,143,9,22,networkx_arborescence,True
100,166,12,22,networkx_arborescence,True
113,133,10,22,networkx_arborescence,True
136,48,11,22,networkx_arborescence,True
144,94,10,22,networkx_arborescence,True
159,103,10,22,networkx_arborescence,True
159,59,9,22,networkx_arborescence,True
189,194,10,22,networkx_arborescence,True
55,191,8,22,networkx_arborescence,True
67,104,10,22,networkx_arborescence,True
73,138,8,22,networkx_arborescence,True
103,20,9,23,networkx_arborescence,True
119,90,9,23,networkx_arborescence,True
133,98,10,23,networkx_arborescence,True
138,114,8,23,networkx_arborescence,True
138,127,8,23,networkx_arborescence,True
138,132,10,23,networkx_arborescence,True
138,170,11,23,networkx_arborescence,True
138,49,9,23,networkx_arborescence,True
143,192,9,23,networkx_arborescence,True
143,52,9,23,networkx_arborescence,True
166,81,10,23,networkx_arborescence,True
191,86,12,23,networkx_arborescence,True
194,107,9,23,networkx_arborescence,True
194,116,9,23,networkx_arborescence,True
194,122,12,23,networkx_arborescence,True
194,177,9,23,networkx_arborescence,True
48,145,9,23,networkx_arborescence,True
48,162,10,23,networkx_arborescence,True
48,45,9,23,networkx_arborescence,True
114,199,10,24,networkx_arborescence,True
132,109,9,24,networkx_arborescence,True
132,72,10,24,networkx_arborescence,True
170,171,8,24,networkx_arborescence,True
177,2,10,24,networkx_arborescence,True
192,83,10,24,networkx_arborescence,True
45,141,10,24,networkx_arborescence,True
49,30,12,24,networkx_arborescence,True
49,69,9,24,networkx_arborescence,True
52,120,11,24,networkx_arborescence,True
86,111,9,24,networkx_arborescence,True
86,6,9,24,networkx_arborescence,True
98,65,13,24,networkx_arborescence,True
98,93,8,24,networkx_arborescence,True
109,37,9,25,networkx_arborescence,True
111,108,9,25,networkx_arborescence,True
111,110,10,25,networkx_arborescence,True
141,200,10,25,networkx_arborescence,True
199,22,9,25,networkx_arborescence,True
30,85,10,25,networkx_arborescence,True
65,157,10,25,networkx_arborescence,True
65,26,8,25,networkx_arborescence,True
65,43,13,25,networkx_arborescence,True
65,91,8,25,networkx_arborescence,True
69,135,9,25,networkx_arborescence,True
69,198,12,25,networkx_arborescence,True
83,134,10,25,networkx_arborescence,True
93,21,8,25,networkx_arborescence,True
