From,To,Weight,Level
150,120,9.0,1
120,15,10.0,2
150,132,9.0,1
132,72,10.0,2
132,109,9.0,2
109,168,10.0,3
168,179,11.0,4
109,37,9.0,3
150,185,9.0,1
185,131,11.0,2
131,89,10.0,3
131,177,9.0,3
177,2,10.0,4
168,155,9.0,4
155,7,9.0,5
7,184,10.0,6
168,66,9.0,4
179,45,9.0,5
45,141,10.0,6
141,200,10.0,7
7,163,9.0,6
163,165,11.0,7
163,11,10.0,7
11,62,10.0,8
62,169,13.0,9
11,166,9.0,8
166,81,10.0,9
11,46,9.0,8
11,84,9.0,8
163,110,9.0,7
165,183,9.0,8
169,10,9.0,10
10,102,9.0,11
102,181,11.0,12
181,121,10.0,13
10,119,9.0,11
102,103,9.0,12
102,147,9.0,12
102,38,9.0,12
103,20,9.0,13
103,43,9.0,13
119,90,9.0,12
121,167,9.0,14
167,161,10.0,15
147,32,9.0,13
32,3,11.0,14
3,115,10.0,15
161,63,9.0,16
63,40,11.0,17
167,122,9.0,15
122,139,9.0,16
139,82,9.0,17
169,196,9.0,10
196,9,10.0,11
9,198,12.0,12
169,86,9.0,10
198,104,9.0,13
104,195,10.0,14
195,133,9.0,15
133,41,10.0,16
41,124,11.0,17
133,98,10.0,16
98,65,13.0,17
65,157,10.0,18
133,48,9.0,16
48,162,10.0,17
198,193,9.0,13
193,159,9.0,14
159,59,9.0,15
193,17,9.0,14
20,137,9.0,14
3,28,9.0,15
32,118,9.0,14
118,55,15.0,15
118,100,9.0,15
100,143,9.0,16
143,99,10.0,17
100,68,9.0,16
143,192,9.0,17
192,83,10.0,18
83,134,10.0,19
134,71,10.0,20
134,39,9.0,20
143,52,9.0,17
192,36,9.0,18
36,145,9.0,19
36,189,9.0,19
189,194,10.0,20
189,108,9.0,20
108,8,10.0,21
108,77,9.0,21
194,1,9.0,21
1,47,9.0,22
194,107,9.0,21
107,92,9.0,22
194,116,9.0,21
40,95,9.0,18
41,12,9.0,17
12,182,10.0,18
43,4,9.0,14
4,117,10.0,15
117,64,9.0,16
4,154,9.0,15
154,29,10.0,16
29,151,12.0,17
29,14,11.0,17
29,170,10.0,17
151,56,9.0,18
29,5,9.0,17
5,176,10.0,18
5,80,10.0,18
80,13,12.0,19
176,25,9.0,19
176,31,9.0,19
31,175,9.0,20
175,173,9.0,21
4,16,9.0,15
16,42,9.0,16
42,148,10.0,17
148,51,9.0,18
43,87,9.0,14
87,172,10.0,15
87,18,10.0,15
18,160,10.0,16
160,135,9.0,17
135,152,9.0,18
172,153,9.0,16
18,178,9.0,16
178,174,9.0,17
174,156,9.0,18
156,125,9.0,19
125,57,9.0,20
48,111,9.0,17
111,78,10.0,18
51,149,9.0,19
52,129,9.0,18
129,76,10.0,19
129,67,9.0,19
71,85,9.0,21
85,106,11.0,22
85,35,10.0,22
35,27,10.0,23
27,54,11.0,24
54,188,10.0,25
106,158,9.0,23
106,60,9.0,23
84,197,9.0,9
197,24,9.0,10
24,88,9.0,11
86,6,9.0,11
87,142,9.0,15
142,123,9.0,16
89,74,9.0,4
74,23,11.0,5
103,113,8.0,13
103,127,8.0,13
107,164,8.0,22
107,187,8.0,22
187,96,9.0,23
96,140,9.0,24
140,97,9.0,25
107,61,8.0,22
11,53,8.0,8
53,69,9.0,9
113,91,8.0,14
115,75,8.0,16
118,73,8.0,15
120,58,8.0,2
121,190,8.0,14
190,34,10.0,15
121,50,8.0,14
50,126,9.0,15
122,186,8.0,16
126,30,8.0,16
129,144,8.0,19
144,94,10.0,20
13,146,8.0,20
146,79,9.0,21
131,44,8.0,3
133,49,8.0,16
137,180,8.0,15
142,21,8.0,16
15,93,8.0,3
151,136,8.0,18
136,199,9.0,19
199,22,9.0,20
16,105,8.0,16
160,70,8.0,17
165,130,8.0,8
170,171,8.0,18
176,128,8.0,19
176,19,8.0,19
185,101,8.0,2
55,191,8.0,16
57,26,8.0,21
60,114,8.0,24
73,138,8.0,16
105,112,7.0,17
130,33,7.0,9
