From,To,Weight,Level,Strategy,Score,Reason,ParentPath
150,120,9,1,top-k,,Selecionada via top-K de peso na origem,150
150,132,9,1,top-k,,Selecionada via top-K de peso na origem,150
120,15,10,2,top-k,,Selecionada via top-K de peso na origem,150 -> 120
120,122,8,2,top-k,,Selecionada via top-K de peso na origem,150 -> 120
132,72,10,2,top-k,,Selecionada via top-K de peso na origem,150 -> 132
132,109,9,2,top-k,,Selecionada via top-K de peso na origem,150 -> 132
15,125,8,3,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15
15,126,8,3,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15
122,139,9,3,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122
122,100,8,3,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122
72,78,9,3,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72
72,160,8,3,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72
109,168,10,3,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109
109,37,9,3,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109
125,174,10,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125
125,57,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125
126,30,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126
126,84,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126
139,82,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139
139,117,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139
100,166,12,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100
100,143,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 100
78,141,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78
78,15,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 78
160,135,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160
160,154,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 72 -> 160
168,179,11,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168
168,155,9,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 168
37,106,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37
37,117,8,4,top-k,,Selecionada via top-K de peso na origem,150 -> 132 -> 109 -> 37
174,156,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125 -> 174
174,134,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125 -> 174
57,102,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125 -> 57
57,41,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 125 -> 57
30,85,10,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126 -> 30
30,115,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126 -> 30
84,197,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126 -> 84
84,10,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 15 -> 126 -> 84
82,159,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139 -> 82
82,161,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139 -> 82
117,64,9,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139 -> 117
117,115,8,5,top-k,,Selecionada via top-K de peso na origem,150 -> 120 -> 122 -> 139 -> 117
