From,To,Weight,Level,Strategy,Score,Reason,ParentPath
Smartphone,Café Moído,13,1,top-k,,Selecionada via top-K de peso na origem,Smartphone
Smartphone,Detergente Roupa,11,1,top-k,,Selecionada via top-K de peso na origem,Smartphone
Café Moído,Arroz 1kg,11,2,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído
Café Moído,Portátil,11,2,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído
Detergente Roupa,Leite 1L,12,2,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa
Detergente Roupa,Arroz 1kg,10,2,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa
Arroz 1kg,Detergente Roupa,9,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg
Arroz 1kg,Leite 1L,9,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg
Portátil,Champô,10,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil
Portátil,Televisão LED,9,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil
Leite 1L,Portátil,12,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L
Leite 1L,Arroz 1kg,11,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L
Arroz 1kg,Leite 1L,9,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg
Arroz 1kg,Champô,8,3,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg
Detergente Roupa,Leite 1L,12,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa
Detergente Roupa,Televisão LED,8,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa
Leite 1L,Portátil,12,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L
Leite 1L,Detergente Roupa,6,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L
Champô,Detergente Roupa,11,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô
Champô,Arroz 1kg,8,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô
Televisão LED,Champô,11,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED
Televisão LED,Leite 1L,11,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED
Portátil,Champô,10,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil
Portátil,Café Moído,9,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil
Arroz 1kg,Champô,8,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg
Arroz 1kg,Televisão LED,7,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg
Leite 1L,Portátil,12,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L
Leite 1L,Café Moído,7,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L
Champô,Café Moído,9,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Champô
Champô,Portátil,9,4,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Champô
Leite 1L,Portátil,12,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa -> Leite 1L
Leite 1L,Televisão LED,6,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa -> Leite 1L
Televisão LED,Champô,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa -> Televisão LED
Televisão LED,Leite 1L,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Detergente Roupa -> Televisão LED
Portátil,Champô,10,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L -> Portátil
Portátil,Televisão LED,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L -> Portátil
Detergente Roupa,Televisão LED,8,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L -> Detergente Roupa
Detergente Roupa,Portátil,7,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Arroz 1kg -> Leite 1L -> Detergente Roupa
Detergente Roupa,Leite 1L,12,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô -> Detergente Roupa
Detergente Roupa,Arroz 1kg,10,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô -> Detergente Roupa
Arroz 1kg,Detergente Roupa,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô -> Arroz 1kg
Arroz 1kg,Leite 1L,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Champô -> Arroz 1kg
Champô,Detergente Roupa,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED -> Champô
Champô,Arroz 1kg,8,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED -> Champô
Leite 1L,Arroz 1kg,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED -> Leite 1L
Leite 1L,Detergente Roupa,6,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Café Moído -> Portátil -> Televisão LED -> Leite 1L
Champô,Café Moído,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil -> Champô
Champô,Arroz 1kg,8,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil -> Champô
Café Moído,Arroz 1kg,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil -> Café Moído
Café Moído,Champô,10,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Portátil -> Café Moído
Champô,Café Moído,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg -> Champô
Champô,Portátil,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg -> Champô
Televisão LED,Champô,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg -> Televisão LED
Televisão LED,Café Moído,7,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Leite 1L -> Arroz 1kg -> Televisão LED
Portátil,Champô,10,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L -> Portátil
Portátil,Café Moído,9,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L -> Portátil
Café Moído,Portátil,11,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L -> Café Moído
Café Moído,Champô,10,5,top-k,,Selecionada via top-K de peso na origem,Smartphone -> Detergente Roupa -> Arroz 1kg -> Leite 1L -> Café Moído
