From,To,Weight,Level
11.35,46.06,1,1
11.35,7.05,1,1
46.06,8.97,1,2
7.05,10.09,1,2
10.09,10.03,1,3
10.03,7.86,1,4
7.05,18.09,1,2
18.09,5.29,1,3
5.29,12.91,1,4
12.91,2.75,1,5
2.75,6.39,1,6
6.39,31.72,1,7
31.72,35.96,1,8
35.96,5.5,1,9
5.5,7.96,1,10
7.86,7.71,1,5
7.71,19.89,1,6
19.89,10.87,1,7
10.87,17.96,1,8
17.96,1.29,1,9
1.29,14.12,1,10
19.89,4.66,1,7
4.66,16.48,1,8
16.48,37.61,1,9
37.61,48.54,1,10
48.54,22.5,1,11
22.5,30.73,1,12
30.73,15.98,1,13
15.98,3.12,1,14
3.12,16.94,1,15
16.94,27.06,1,16
27.06,36.82,1,17
30.73,18.2,1,13
18.2,26.58,1,14
26.58,8.09,1,15
36.82,10.86,1,18
10.86,6.68,1,19
6.68,16.16,1,20
16.16,13.85,1,21
13.85,7.42,1,22
6.68,8.85,1,20
7.42,20.25,1,23
20.25,33.79,1,24
33.79,11.32,1,25
11.32,5.57,1,26
5.57,18.41,1,27
18.41,40.05,1,28
40.05,15.48,1,29
15.48,4.56,1,30
4.56,3.15,1,31
3.15,1.69,1,32
1.69,3.71,1,33
3.71,44.75,1,34
4.56,5.14,1,31
40.05,9.1,1,29
44.75,13.08,1,35
13.08,29.5,1,36
29.5,29.62,1,37
29.62,7.23,1,38
5.14,15.06,1,32
15.06,7.19,1,33
7.19,12.31,1,34
12.31,13.09,1,35
13.09,4.55,1,36
4.55,14.78,1,37
14.78,15.95,1,38
15.95,23.24,1,39
23.24,43.16,1,40
43.16,3.44,1,41
3.44,20.04,1,42
20.04,17.42,1,43
17.42,10.38,1,44
10.38,14.66,1,45
14.66,15.2,1,46
15.2,22.65,1,47
15.2,8.18,1,47
22.65,12.4,1,48
12.4,19.3,1,49
19.3,25.11,1,50
25.11,743.25,1,51
3.44,3.36,1,42
3.36,18.07,1,43
18.07,31.48,1,44
31.48,6.18,1,45
6.18,17.94,1,46
17.94,22.77,1,47
22.77,35.11,1,48
35.11,35.48,1,49
35.48,33.82,1,50
33.82,8.7,1,51
6.18,4.61,1,46
4.61,30.94,1,47
30.94,19.35,1,48
19.35,17.26,1,49
7.23,29.92,1,39
29.92,5.19,1,40
5.19,12.16,1,41
12.16,44.54,1,42
44.54,6.38,1,43
6.38,6.49,1,44
6.49,4.73,1,45
4.73,12.33,1,46
12.33,13.07,1,47
13.07,23.34,1,48
23.34,12.48,1,49
12.48,9.08,1,50
7.96,1.62,1,11
1.62,6.56,1,12
6.56,6.86,1,13
6.86,31.92,1,14
31.92,29.76,1,15
29.76,3.05,1,16
3.05,32.23,1,17
3.05,5.11,1,17
32.23,16.37,1,18
5.11,35.94,1,18
35.94,30.31,1,19
30.31,12.94,1,20
12.94,43.42,1,21
43.42,6.13,1,22
5.11,9.15,1,18
6.13,29.96,1,23
29.96,4.82,1,24
4.82,17.28,1,25
17.28,25.96,1,26
25.96,6.66,1,27
6.66,17.3,1,28
17.3,6.92,1,29
6.66,19.86,1,28
19.86,16.72,1,29
16.72,18.63,1,30
6.86,8.05,1,14
6.92,45.96,1,30
45.96,47.2,1,31
743.25,1750.73,1,52
1750.73,459.05,1,53
459.05,2044.44,1,54
2044.44,2151.55,1,55
2151.55,2248.18,1,56
2248.18,2313.38,1,57
2313.38,626.56,1,58
626.56,773.84,1,59
773.84,44.99,1,60
44.99,3193.62,1,61
3193.62,588.42,1,62
588.42,1959.89,1,63
1959.89,741.11,1,64
741.11,3136.31,1,65
3136.31,4005.58,1,66
4005.58,1197.56,1,67
1197.56,751.62,1,68
751.62,367.23,1,69
367.23,270.95,1,70
270.95,2643.28,1,71
2643.28,2205.52,1,72
2205.52,1351.33,1,73
1351.33,203.78,1,74
203.78,3955.96,1,75
3955.96,108.62,1,76
108.62,3217.99,1,77
3217.99,2652.09,1,78
2652.09,1167.74,1,79
1167.74,296.27,1,80
296.27,3645.41,1,81
3645.41,111.55,1,82
111.55,417.19,1,83
417.19,1501.44,1,84
1501.44,3462.57,1,85
3462.57,1182.73,1,86
1182.73,816.98,1,87
8.05,3.56,1,15
3.56,5.61,1,16
5.61,3.93,1,17
3.93,10.31,1,18
10.31,4.25,1,19
4.25,27.42,1,20
27.42,28.28,1,21
28.28,4.22,1,22
4.22,11.37,1,23
11.37,47.79,1,24
47.79,5.12,1,25
5.12,3.82,1,26
3.82,14.41,1,27
14.41,21.85,1,28
21.85,8.4,1,29
5.61,35.14,1,17
35.14,16.26,1,18
16.26,7.16,1,19
7.16,6.45,1,20
6.45,3.11,1,21
3.11,19.05,1,22
19.05,35.0,1,23
35.0,41.2,1,24
41.2,25.66,1,25
25.66,36.57,1,26
36.57,9.02,1,27
8.09,4.26,1,16
4.26,9.2,1,17
8.18,39.65,1,48
39.65,8.42,1,49
8.4,31.75,1,30
31.75,13.4,1,31
13.4,9.57,1,32
31.75,15.05,1,31
15.05,25.69,1,32
25.69,6.84,1,33
8.42,6.99,1,50
8.7,8.98,1,52
8.85,38.81,1,21
38.81,7.11,1,22
7.11,23.13,1,23
23.13,8.86,1,24
7.11,9.48,1,23
8.86,8.93,1,25
8.93,1.53,1,26
1.53,7.48,1,27
7.48,3.63,1,28
3.63,2.48,1,29
2.48,38.21,1,30
38.21,1.41,1,31
1.41,4.52,1,32
4.52,3.2,1,33
3.2,34.78,1,34
34.78,7.01,1,35
7.01,1.83,1,36
1.83,7.89,1,37
8.97,19.2,1,3
19.2,19.83,1,4
19.83,10.8,1,5
10.8,6.32,1,6
6.32,4.14,1,7
4.14,2.65,1,8
2.65,27.51,1,9
27.51,11.01,1,10
11.01,21.04,1,11
21.04,4.27,1,12
4.27,13.11,1,13
8.98,6.9,1,53
6.9,15.08,1,54
15.08,13.8,1,55
13.8,13.54,1,56
13.54,2.45,1,57
2.45,7.87,1,58
7.87,28.41,1,59
28.41,8.58,1,60
8.58,14.92,1,61
14.92,7.62,1,62
7.62,15.99,1,63
15.99,3.34,1,64
3.34,25.85,1,65
25.85,41.75,1,66
41.75,11.23,1,67
11.23,18.29,1,68
18.29,35.29,1,69
35.29,34.16,1,70
34.16,2.79,1,71
2.79,29.68,1,72
29.68,12.57,1,73
12.57,21.46,1,74
21.46,32.3,1,75
32.3,30.07,1,76
30.07,4.24,1,77
4.24,15.43,1,78
15.43,7.7,1,79
7.7,25.61,1,80
25.61,30.09,1,81
30.09,3.26,1,82
3.26,7.31,1,83
7.31,5.15,1,84
5.15,7.0,1,85
7.0,5.48,1,86
5.48,7.54,1,87
7.54,23.51,1,88
23.51,38.06,1,89
38.06,35.51,1,90
35.51,2.51,1,91
2.51,34.18,1,92
34.18,15.97,1,93
15.97,25.63,1,94
25.63,15.1,1,95
15.1,28.91,1,96
28.91,28.01,1,97
28.01,2.44,1,98
2.44,29.72,1,99
29.72,1.47,1,100
1.47,23.91,1,101
23.91,7.85,1,102
