From,To,Weight,Level,Strategy,Score,Reason,ParentPath
Fluxo_Aumenta,Pressao_Sobe,7,1,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta
Fluxo_Aumenta,Nivel_Sobe,5,1,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta
Pressao_Sobe,Nivel_Sobe,4,2,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Pressao_Sobe
Pressao_Sobe,Valvula_Abre,4,2,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Pressao_Sobe
Nivel_Sobe,Valvula_Abre,4,2,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Nivel_Sobe
Nivel_Sobe,Alarme_Nivel_Alto,3,2,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Nivel_Sobe
Nivel_Sobe,Valvula_Abre,4,3,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Pressao_Sobe -> Nivel_Sobe
Nivel_Sobe,Alarme_Nivel_Alto,3,3,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Pressao_Sobe -> Nivel_Sobe
Alarme_Nivel_Alto,Valvula_Abre,2,3,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Nivel_Sobe -> Alarme_Nivel_Alto
Alarme_Nivel_Alto,Valvula_Abre,2,4,top-k,,Selecionada via top-K de peso na origem,Fluxo_Aumenta -> Pressao_Sobe -> Nivel_Sobe -> Alarme_Nivel_Alto
