From,To,Weight,RelativeWeight,Rank
Higiene,Tecnologia,24,41.37931034482759,1
Higiene,Mercearia,23,39.6551724137931,2
Higiene,Limpeza,11,18.96551724137931,3
Limpeza,Mercearia,29,51.78571428571429,1
Limpeza,Tecnologia,23,41.07142857142857,2
Limpeza,Higiene,4,7.142857142857142,3
Mercearia,Tecnologia,74,64.34782608695652,1
Mercearia,Higiene,23,20.0,2
Mercearia,Limpeza,18,15.65217391304348,3
Tecnologia,Mercearia,75,60.97560975609756,1
Tecnologia,Higiene,26,21.138211382113823,2
Tecnologia,Limpeza,22,17.88617886178862,3
