From,To,Weight
START,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,END,1.0
START,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,END,1.0
START,Higiene,1.0
Higiene,Limpeza,1.0
Limpeza,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Limpeza,1.0
Limpeza,Tecnologia,1.0
Tecnologia,END,1.0
START,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Limpeza,1.0
Limpeza,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,END,1.0
START,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,END,1.0
START,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,END,1.0
START,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,END,1.0
START,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Higiene,1.0
Higiene,Limpeza,1.0
Limpeza,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,END,1.0
START,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,END,1.0
START,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Limpeza,1.0
Limpeza,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Higiene,1.0
Higiene,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,Tecnologia,1.0
Tecnologia,Mercearia,1.0
Mercearia,END,1.0
START,Mercearia,1.0
