path,start,end,branch_depth,path_weight,bottleneck_weight,edges
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 125 -> 57 -> 102 -> 181 -> 167 -> 161 -> 63 -> 40,150,40,36,351,7,36
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 125 -> 57 -> 102 -> 181 -> 167 -> 161 -> 63 -> 92,150,92,36,349,7,36
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 125 -> 57 -> 102 -> 181 -> 121 -> 190 -> 34,150,34,35,340,7,35
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 139 -> 187 -> 96,150,96,33,326,7,33
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 139 -> 82,150,82,32,318,7,32
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 139 -> 164,150,164,32,317,7,32
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 139 -> 53,150,53,32,317,7,32
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 176 -> 25 -> 182,150,182,32,314,7,32
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 125 -> 57 -> 102 -> 38,150,38,32,310,7,32
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 124,150,124,31,306,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 41 -> 12,150,12,31,304,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 13 -> 146 -> 79,150,79,31,302,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 176 -> 31,150,31,31,302,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 21 -> 80 -> 125 -> 174 -> 156,150,156,31,301,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 176 -> 128,150,128,31,301,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 186 -> 153,150,153,31,301,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 99 -> 47 -> 42 -> 148 -> 51 -> 149,150,149,31,301,7,31
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 108 -> 8 -> 19,150,19,27,263,7,27
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 100 -> 143 -> 192 -> 83 -> 134 -> 71,150,71,26,249,7,26
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 154 -> 29 -> 151 -> 56,150,56,25,249,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 100 -> 143 -> 192 -> 83 -> 134 -> 39,150,39,26,248,7,26
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 154 -> 29 -> 147 -> 32,150,32,25,247,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 87 -> 18 -> 160 -> 70 -> 17,150,17,25,247,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 111 -> 110,150,110,25,246,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 61 -> 84 -> 197 -> 24 -> 88,150,88,25,245,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 33 -> 136 -> 48 -> 45 -> 141 -> 200,150,200,25,239,7,25
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 154 -> 29 -> 14,150,14,24,239,7,24
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 154 -> 29 -> 64,150,64,24,238,7,24
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 133 -> 98 -> 65 -> 43 -> 4 -> 154 -> 29 -> 5,150,5,24,237,7,24
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 55 -> 191 -> 86 -> 6,150,6,24,236,7,24
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 165 -> 130 -> 9 -> 189 -> 194 -> 177 -> 2,150,2,24,232,7,24
150 -> 112 -> 185 -> 131 -> 89 -> 74 -> 73 -> 138 -> 49 -> 30 -> 85 -> 35 -> 27 -> 54 -> 3 -> 115 -> 113 -> 163 -> 11 -> 62 -> 118 -> 100 -> 143 -> 52 -> 120,150,120,24,230,7,24
