path,start,end,branch_depth,path_weight,bottleneck_weight,edges
SOURCE -> 6241 -> 8169 -> 1475 -> 3350 -> 942 -> 3225 -> 2581 -> 329097 -> 3100 -> 1005 -> 987 -> 1319 -> 1857 -> 2372 -> 302 -> 29206 -> 177487 -> 1021 -> 7399 -> 2069 -> 453 -> 955 -> 7983 -> 2719 -> 930 -> 28 -> 126,SOURCE,126,27,27,1,27
SOURCE -> 2898 -> 191 -> 601 -> 1801 -> 99 -> 1501 -> 8437 -> 2442 -> 3747 -> 106 -> 312 -> 623 -> 118967 -> 18089 -> 16 -> 12 -> 2 -> SINK,SOURCE,SINK,18,19,1,18
SOURCE -> 2898 -> 191 -> 601 -> 1801 -> 99 -> 1501 -> 8437 -> 2442 -> 3747 -> 106 -> 312 -> 623 -> 118967 -> 18089 -> 16 -> 12 -> 2 -> 4443,SOURCE,4443,18,18,1,18
SOURCE -> 10065 -> 4204 -> 5304 -> 9981 -> 2807 -> 3786 -> 9541 -> 4718 -> 80554 -> 1090 -> 2046 -> 4049 -> 5070 -> 672 -> 44 -> 8 -> 14,SOURCE,14,17,17,1,17
SOURCE -> 11945 -> 7165 -> 2825 -> 1826 -> 831 -> 4601 -> 2024 -> 729 -> 1172 -> 67454 -> 1536 -> 2209 -> 154 -> 1141 -> 2249 -> 34 -> 239,SOURCE,239,17,17,1,17
SOURCE -> 16518 -> 7933 -> 71883 -> 3621 -> 1409 -> 2842 -> 741 -> 1256 -> 4816 -> 2503 -> 2987 -> 4188 -> 727 -> 2715 -> 2676 -> 26 -> 654,SOURCE,654,17,17,1,17
SOURCE -> 19014 -> 3991 -> 1816 -> 2367 -> 1504 -> 2970 -> 641 -> 676 -> 1231 -> 1615 -> 30492 -> 1444 -> 318 -> 1762 -> 1471 -> 21 -> 2927,SOURCE,2927,17,17,1,17
SOURCE -> 21565 -> 11300 -> 3629 -> 224830 -> 1488 -> 5016 -> 21398 -> 4026 -> 7293 -> 2554 -> 2489 -> 3228 -> 2218 -> 4246 -> 901 -> 61 -> 264,SOURCE,264,17,17,1,17
SOURCE -> 26362 -> 4827 -> 2557 -> 3352 -> 567 -> 2179 -> 3342 -> 1497 -> 1470 -> 954 -> 1297 -> 2864 -> 9730 -> 252270 -> 828 -> 508 -> 245,SOURCE,245,17,17,1,17
SOURCE -> 27158 -> 8574 -> 5677 -> 3361 -> 1022 -> 2933 -> 1566 -> 1391 -> 5536 -> 2414 -> 1764 -> 129732 -> 947 -> 5323 -> 1251 -> 67 -> 279,SOURCE,279,17,17,1,17
SOURCE -> 2898 -> 191 -> 601 -> 1801 -> 99 -> 1501 -> 8437 -> 2442 -> 3747 -> 106 -> 312 -> 623 -> 118967 -> 18089 -> 16 -> 19 -> 49,SOURCE,49,17,17,1,17
SOURCE -> 3514 -> 4951 -> 2408 -> 1043 -> 2487 -> 6575 -> 2037 -> 429 -> 201 -> 2848 -> 2154 -> 1130 -> 65 -> 1355 -> 13449 -> 29 -> 156,SOURCE,156,17,17,1,17
SOURCE -> 3514 -> 4951 -> 2408 -> 1043 -> 2487 -> 6575 -> 2037 -> 429 -> 201 -> 2848 -> 2154 -> 1130 -> 65 -> 1355 -> 13449 -> 29 -> 81,SOURCE,81,17,17,1,17
SOURCE -> 418754 -> 73819 -> 23795 -> 27130 -> 8604 -> 30577 -> 28117 -> 8095 -> 3257 -> 18870 -> 27260 -> 41210 -> 1628 -> 35992 -> 5738 -> 1049 -> 5038,SOURCE,5038,17,17,1,17
SOURCE -> 45475 -> 222134 -> 10838 -> 11168 -> 3019 -> 9533 -> 6317 -> 6562 -> 2450 -> 7681 -> 3491 -> 10053 -> 427 -> 8527 -> 5870 -> 181 -> 696,SOURCE,696,17,17,1,17
SOURCE -> 5786 -> 2736 -> 849 -> 799 -> 118897 -> 2223 -> 327 -> 888 -> 1346 -> 534 -> 771 -> 640 -> 163 -> 631 -> 1763 -> 244 -> 75,SOURCE,75,17,17,1,17
SOURCE -> 3707 -> 784 -> 370 -> 337 -> 187 -> 372 -> 550 -> 144 -> 66 -> 281 -> 1605 -> 278 -> 18 -> 50 -> 9 -> 402,SOURCE,402,16,16,1,16
SOURCE -> 3707 -> 784 -> 370 -> 337 -> 187 -> 372 -> 550 -> 144 -> 66 -> 281 -> 1605 -> 278 -> 18 -> 262 -> 145,SOURCE,145,15,15,1,15
SOURCE -> 10065 -> 4204 -> 5304 -> 9981 -> 2807 -> 4059 -> 2813 -> 3429 -> 11516 -> 366 -> 202,SOURCE,202,11,11,1,11
SOURCE -> 18175 -> 10710 -> 5928 -> 7074 -> 2770 -> 143733 -> 36781 -> 4433 -> 7672 -> 6437,SOURCE,6437,10,10,1,10
SOURCE -> 691 -> 223 -> 32 -> 45 -> 137 -> 284 -> 27,SOURCE,27,7,7,1,7
SOURCE -> 691 -> 223 -> 32 -> 45 -> 22144,SOURCE,22144,5,5,1,5
SOURCE -> 25214 -> 3266 -> 811 -> 32921,SOURCE,32921,4,4,1,4
