From,To,Weight,TransitionType
Tecnologia,Mercearia,75,normal_transition
Mercearia,Tecnologia,74,normal_transition
Limpeza,Mercearia,29,normal_transition
Tecnologia,Higiene,26,normal_transition
Higiene,Tecnologia,24,normal_transition
Higiene,Mercearia,23,normal_transition
Limpeza,Tecnologia,23,normal_transition
Mercearia,Higiene,23,normal_transition
Tecnologia,Limpeza,22,normal_transition
Mercearia,Limpeza,18,normal_transition
Higiene,Limpeza,11,normal_transition
Limpeza,Higiene,4,normal_transition
Mercearia,SINK,25,sink_transition
Tecnologia,SINK,15,sink_transition
Higiene,SINK,5,sink_transition
Limpeza,SINK,5,sink_transition
SOURCE,Tecnologia,17,source_transition
SOURCE,Mercearia,13,source_transition
SOURCE,Higiene,10,source_transition
SOURCE,Limpeza,10,source_transition
