customer,timestamp,item,sequence_position
S001,1,418754,1
S001,2,73819,2
S001,3,23795,3
S001,4,27130,4
S001,5,8604,5
S001,6,30577,6
S001,7,28117,7
S001,8,8095,8
S001,9,3257,9
S001,10,18870,10
S001,11,27260,11
S001,12,41210,12
S001,13,1628,13
S001,14,35992,14
S001,15,5738,15
S001,16,1049,16
S001,17,5038,17
S002,1,45475,1
S002,2,222134,2
S002,3,10838,3
S002,4,11168,4
S002,5,3019,5
S002,6,9533,6
S002,7,6317,7
S002,8,6562,8
S002,9,2450,9
S002,10,7681,10
S002,11,3491,11
S002,12,10053,12
S002,13,427,13
S002,14,8527,14
S002,15,5870,15
S002,16,181,16
S002,17,696,17
S003,1,16518,1
S003,2,7933,2
S003,3,71883,3
S003,4,3621,4
S003,5,1409,5
S003,6,2842,6
S003,7,741,7
S003,8,1256,8
S003,9,4816,9
S003,10,2503,10
S003,11,2987,11
S003,12,4188,12
S003,13,727,13
S003,14,2715,14
S003,15,2676,15
S003,16,26,16
S003,17,654,17
S004,1,21565,1
S004,2,11300,2
S004,3,3629,3
S004,4,224830,4
S004,5,1488,5
S004,6,5016,6
S004,7,21398,7
S004,8,4026,8
S004,9,7293,9
S004,10,2554,10
S004,11,2489,11
S004,12,3228,12
S004,13,2218,13
S004,14,4246,14
S004,15,901,15
S004,16,61,16
S004,17,264,17
S005,1,5786,1
S005,2,2736,2
S005,3,849,3
S005,4,799,4
S005,5,118897,5
S005,6,2223,6
S005,7,327,7
S005,8,888,8
S005,9,1346,9
S005,10,534,10
S005,11,771,11
S005,12,640,12
S005,13,163,13
S005,14,631,14
S005,15,1763,15
S005,16,244,16
S005,17,75,17
S006,1,18175,1
S006,2,10710,2
S006,3,5928,3
S006,4,7074,4
S006,5,2770,5
S006,6,143733,6
S006,7,36781,7
S006,8,4433,8
S006,9,7672,9
S006,10,6437,10
S006,11,2807,11
S006,12,4059,12
S006,13,2813,13
S006,14,3429,14
S006,15,11516,15
S006,16,366,16
S006,17,202,17
S007,1,25214,1
S007,2,3266,2
S007,3,811,3
S007,4,32921,4
S007,5,302,5
S007,6,29206,6
S007,7,177487,7
S007,8,1021,8
S007,9,7399,9
S007,10,2069,10
S007,11,453,11
S007,12,955,12
S007,13,7983,13
S007,14,2719,14
S007,15,930,15
S007,16,28,16
S007,17,126,17
S008,1,6241,1
S008,2,8169,2
S008,3,1475,3
S008,4,3350,4
S008,5,942,5
S008,6,3225,6
S008,7,2581,7
S008,8,329097,8
S008,9,3100,9
S008,10,1005,10
S008,11,987,11
S008,12,1319,12
S008,13,1857,13
S008,14,2372,14
S008,15,302,15
S008,16,29,16
S008,17,81,17
S009,1,10065,1
S009,2,4204,2
S009,3,5304,3
S009,4,9981,4
S009,5,2807,5
S009,6,3786,6
S009,7,9541,7
S009,8,4718,8
S009,9,80554,9
S009,10,1090,10
S009,11,2046,11
S009,12,4049,12
S009,13,5070,13
S009,14,672,14
S009,15,44,15
S009,16,8,16
S009,17,14,17
S010,1,11945,1
S010,2,7165,2
S010,3,2825,3
S010,4,1826,4
S010,5,831,5
S010,6,4601,6
S010,7,2024,7
S010,8,729,8
S010,9,1172,9
S010,10,67454,10
S010,11,1536,11
S010,12,2209,12
S010,13,154,13
S010,14,1141,14
S010,15,2249,15
S010,16,34,16
S010,17,239,17
S011,1,19014,1
S011,2,3991,2
S011,3,1816,3
S011,4,2367,4
S011,5,1504,5
S011,6,2970,6
S011,7,641,7
S011,8,676,8
S011,9,1231,9
S011,10,1615,10
S011,11,30492,11
S011,12,1444,12
S011,13,318,13
S011,14,1762,14
S011,15,1471,15
S011,16,21,16
S011,17,2927,17
S012,1,27158,1
S012,2,8574,2
S012,3,5677,3
S012,4,3361,4
S012,5,1022,5
S012,6,2933,6
S012,7,1566,7
S012,8,1391,8
S012,9,5536,9
S012,10,2414,10
S012,11,1764,11
S012,12,129732,12
S012,13,947,13
S012,14,5323,14
S012,15,1251,15
S012,16,67,16
S012,17,279,17
S013,1,2898,1
S013,2,191,2
S013,3,601,3
S013,4,1801,4
S013,5,99,5
S013,6,1501,6
S013,7,8437,7
S013,8,2442,8
S013,9,3747,9
S013,10,106,10
S013,11,312,11
S013,12,623,12
S013,13,118967,13
S013,14,18089,14
S013,15,16,15
S013,16,12,16
S013,17,2,17
S014,1,26362,1
S014,2,4827,2
S014,3,2557,3
S014,4,3352,4
S014,5,567,5
S014,6,2179,6
S014,7,3342,7
S014,8,1497,8
S014,9,1470,9
S014,10,954,10
S014,11,1297,11
S014,12,2864,12
S014,13,9730,13
S014,14,252270,14
S014,15,828,15
S014,16,508,16
S014,17,245,17
S015,1,3514,1
S015,2,4951,2
S015,3,2408,3
S015,4,1043,4
S015,5,2487,5
S015,6,6575,6
S015,7,2037,7
S015,8,429,8
S015,9,201,9
S015,10,2848,10
S015,11,2154,11
S015,12,1130,12
S015,13,65,13
S015,14,1355,14
S015,15,13449,15
S015,16,29,16
S015,17,156,17
S016,1,691,1
S016,2,223,2
S016,3,32,3
S016,4,45,4
S016,5,137,5
S016,6,284,6
S016,7,27,7
S016,8,16,8
S016,9,19,9
S016,10,49,10
S016,11,18,11
S016,12,50,12
S016,13,9,13
S016,14,402,14
S016,15,45,15
S016,16,22144,16
S016,17,2,17
S017,1,3707,1
S017,2,784,2
S017,3,370,3
S017,4,337,4
S017,5,187,5
S017,6,372,6
S017,7,550,7
S017,8,144,8
S017,9,66,9
S017,10,281,10
S017,11,1605,11
S017,12,278,12
S017,13,18,13
S017,14,262,14
S017,15,145,15
S017,16,2,16
S017,17,4443,17
