From,To,Weight,Level,Direction,Method
118,55,15,0,INITIAL,ramex_back_forward_heuristic
69,55,10,2,BACKWARD,ramex_back_forward_heuristic
69,198,12,3,FORWARD,ramex_back_forward_heuristic
9,198,12,4,BACKWARD,ramex_back_forward_heuristic
130,9,12,5,BACKWARD,ramex_back_forward_heuristic
130,50,11,6,FORWARD,ramex_back_forward_heuristic
196,9,10,5,BACKWARD,ramex_back_forward_heuristic
169,196,9,6,BACKWARD,ramex_back_forward_heuristic
62,169,13,7,BACKWARD,ramex_back_forward_heuristic
41,169,11,7,BACKWARD,ramex_back_forward_heuristic
41,139,14,8,FORWARD,ramex_back_forward_heuristic
148,41,12,8,BACKWARD,ramex_back_forward_heuristic
41,124,11,8,FORWARD,ramex_back_forward_heuristic
101,169,10,7,BACKWARD,ramex_back_forward_heuristic
11,62,10,8,BACKWARD,ramex_back_forward_heuristic
133,41,10,8,BACKWARD,ramex_back_forward_heuristic
133,15,12,9,FORWARD,ramex_back_forward_heuristic
85,15,12,10,BACKWARD,ramex_back_forward_heuristic
85,106,11,11,FORWARD,ramex_back_forward_heuristic
108,15,10,10,BACKWARD,ramex_back_forward_heuristic
113,133,10,9,BACKWARD,ramex_back_forward_heuristic
120,15,10,10,BACKWARD,ramex_back_forward_heuristic
52,120,11,11,BACKWARD,ramex_back_forward_heuristic
163,11,10,9,BACKWARD,ramex_back_forward_heuristic
163,165,11,10,FORWARD,ramex_back_forward_heuristic
162,165,10,11,BACKWARD,ramex_back_forward_heuristic
164,15,10,10,BACKWARD,ramex_back_forward_heuristic
30,85,10,11,BACKWARD,ramex_back_forward_heuristic
49,30,12,12,BACKWARD,ramex_back_forward_heuristic
35,15,10,10,BACKWARD,ramex_back_forward_heuristic
38,165,10,11,BACKWARD,ramex_back_forward_heuristic
42,148,10,9,BACKWARD,ramex_back_forward_heuristic
48,162,10,12,BACKWARD,ramex_back_forward_heuristic
136,48,11,13,BACKWARD,ramex_back_forward_heuristic
33,136,10,14,BACKWARD,ramex_back_forward_heuristic
70,11,10,9,BACKWARD,ramex_back_forward_heuristic
101,76,10,8,FORWARD,ramex_back_forward_heuristic
129,76,10,9,BACKWARD,ramex_back_forward_heuristic
129,159,11,10,FORWARD,ramex_back_forward_heuristic
178,159,11,11,BACKWARD,ramex_back_forward_heuristic
26,178,10,12,BACKWARD,ramex_back_forward_heuristic
101,77,10,8,FORWARD,ramex_back_forward_heuristic
108,8,10,11,FORWARD,ramex_back_forward_heuristic
108,99,10,11,FORWARD,ramex_back_forward_heuristic
