From,To,Weight,Level,ParentPath,Score,Strategy,Reason
150,185,9,1,150,0.35580297816802586,multiobjective,mantida por diversidade estrutural
150,120,9,1,150,0.3539090387740864,multiobjective,mantida por diversidade estrutural
150,132,9,1,150,0.3531514630165107,multiobjective,mantida por diversidade estrutural
185,131,11,2,150 -> 185,0.396646886528654,multiobjective,mantida por diversidade estrutural
185,15,9,2,150 -> 185,0.3485182515124249,multiobjective,mantida por diversidade estrutural
185,149,8,2,150 -> 185,0.3263478733982497,multiobjective,mantida por diversidade estrutural
120,15,10,2,150 -> 120,0.34400884688985833,multiobjective,mantida por diversidade estrutural
120,122,8,2,150 -> 120,0.3064585926634018,multiobjective,mantida por diversidade estrutural
120,84,8,2,150 -> 120,0.30607980478461394,multiobjective,mantida por diversidade estrutural
132,72,10,2,150 -> 132,0.3359334791161539,multiobjective,mantida por diversidade estrutural
132,109,9,2,150 -> 132,0.31033255544696275,multiobjective,mantida por diversidade estrutural
132,189,8,2,150 -> 132,0.28586799541413527,multiobjective,mantida por diversidade estrutural
131,89,10,3,150 -> 185 -> 131,0.36632099221136877,multiobjective,mantida por diversidade estrutural
131,177,9,3,150 -> 185 -> 131,0.3426237414750804,multiobjective,mantida por diversidade estrutural
131,18,8,3,150 -> 185 -> 131,0.32157800589030716,multiobjective,mantida por diversidade estrutural
15,126,8,3,150 -> 185 -> 15,0.2991802987756189,multiobjective,mantida por diversidade estrutural
15,93,8,3,150 -> 185 -> 15,0.2991802987756189,multiobjective,mantida por diversidade estrutural
15,92,8,3,150 -> 185 -> 15,0.29880151089683105,multiobjective,mantida por diversidade estrutural
149,48,9,3,150 -> 185 -> 149,0.3093952592964825,multiobjective,mantida por diversidade estrutural
149,151,9,3,150 -> 185 -> 149,0.3063649562661795,multiobjective,mantida por diversidade estrutural
149,125,8,3,150 -> 185 -> 149,0.2849506681961999,multiobjective,mantida por diversidade estrutural
15,126,8,3,150 -> 120 -> 15,0.28479076479076476,multiobjective,mantida por diversidade estrutural
15,93,8,3,150 -> 120 -> 15,0.28479076479076476,multiobjective,mantida por diversidade estrutural
15,89,8,3,150 -> 120 -> 15,0.28442055851587866,multiobjective,mantida por diversidade estrutural
122,139,9,3,150 -> 120 -> 122,0.3079580690880644,multiobjective,mantida por diversidade estrutural
122,100,8,3,150 -> 120 -> 122,0.28767148228703365,multiobjective,mantida por diversidade estrutural
122,81,8,3,150 -> 120 -> 122,0.28691390652945786,multiobjective,mantida por diversidade estrutural
84,197,9,3,150 -> 120 -> 84,0.3109374960217049,multiobjective,mantida por diversidade estrutural
84,10,8,3,150 -> 120 -> 84,0.2880050469687882,multiobjective,mantida por diversidade estrutural
84,153,8,3,150 -> 120 -> 84,0.28762625909000034,multiobjective,mantida por diversidade estrutural
72,78,9,3,150 -> 132 -> 72,0.3106048923996276,multiobjective,mantida por diversidade estrutural
72,160,8,3,150 -> 132 -> 72,0.287288523883844,multiobjective,mantida por diversidade estrutural
72,7,8,3,150 -> 132 -> 72,0.28690973600505615,multiobjective,mantida por diversidade estrutural
109,168,10,3,150 -> 132 -> 109,0.3334265895408514,multiobjective,mantida por diversidade estrutural
109,37,9,3,150 -> 132 -> 109,0.31087938513222085,multiobjective,mantida por diversidade estrutural
109,200,8,3,150 -> 132 -> 109,0.28871096860237816,multiobjective,mantida por diversidade estrutural
189,194,10,3,150 -> 132 -> 189,0.33314298212421983,multiobjective,mantida por diversidade estrutural
189,195,9,3,150 -> 132 -> 189,0.3113438354269494,multiobjective,mantida por diversidade estrutural
189,108,9,3,150 -> 132 -> 189,0.3102074717905858,multiobjective,mantida por diversidade estrutural
89,28,9,4,150 -> 185 -> 131 -> 89,0.3371562554509906,multiobjective,mantida por diversidade estrutural
89,74,9,4,150 -> 185 -> 131 -> 89,0.3352623160570512,multiobjective,mantida por diversidade estrutural
89,129,9,4,150 -> 185 -> 131 -> 89,0.33488352817826333,multiobjective,mantida por diversidade estrutural
177,2,10,4,150 -> 185 -> 131 -> 177,0.3401792955353704,multiobjective,mantida por diversidade estrutural
177,159,8,4,150 -> 185 -> 131 -> 177,0.29243434551920544,multiobjective,mantida por diversidade estrutural
177,9,8,4,150 -> 185 -> 131 -> 177,0.2901616182464782,multiobjective,mantida por diversidade estrutural
18,160,10,4,150 -> 185 -> 131 -> 18,0.3333662165047808,multiobjective,mantida por diversidade estrutural
18,178,9,4,150 -> 185 -> 131 -> 18,0.31193868576339373,multiobjective,mantida por diversidade estrutural
18,51,8,4,150 -> 185 -> 131 -> 18,0.28788489239574394,multiobjective,mantida por diversidade estrutural
126,30,8,4,150 -> 185 -> 15 -> 126,0.28723538218764283,multiobjective,mantida por diversidade estrutural
126,84,8,4,150 -> 185 -> 15 -> 126,0.28695129127855196,multiobjective,mantida por diversidade estrutural
126,87,8,4,150 -> 185 -> 15 -> 126,0.2864778064300671,multiobjective,mantida por diversidade estrutural
93,66,10,4,150 -> 185 -> 15 -> 93,0.33240610940025955,multiobjective,mantida por diversidade estrutural
93,166,8,4,150 -> 185 -> 15 -> 93,0.2880460996414198,multiobjective,mantida por diversidade estrutural
93,21,8,4,150 -> 185 -> 15 -> 93,0.2853945844899047,multiobjective,mantida por diversidade estrutural
92,68,9,4,150 -> 185 -> 15 -> 92,0.30832282195208954,multiobjective,mantida por diversidade estrutural
92,27,8,4,150 -> 185 -> 15 -> 92,0.28765900671835565,multiobjective,mantida por diversidade estrutural
92,167,8,4,150 -> 185 -> 15 -> 92,0.2861438552032041,multiobjective,mantida por diversidade estrutural
48,162,10,4,150 -> 185 -> 149 -> 48,0.33162783060906836,multiobjective,mantida por diversidade estrutural
48,111,9,4,150 -> 185 -> 149 -> 48,0.3121014111845251,multiobjective,mantida por diversidade estrutural
48,45,9,4,150 -> 185 -> 149 -> 48,0.31172262330573725,multiobjective,mantida por diversidade estrutural
151,1,9,4,150 -> 185 -> 149 -> 151,0.31283488109458446,multiobjective,mantida por diversidade estrutural
151,56,9,4,150 -> 185 -> 149 -> 151,0.31207730533700867,multiobjective,mantida por diversidade estrutural
151,104,8,4,150 -> 185 -> 149 -> 151,0.28720844649484945,multiobjective,mantida por diversidade estrutural
125,174,10,4,150 -> 185 -> 149 -> 125,0.3322756572531176,multiobjective,mantida por diversidade estrutural
125,57,9,4,150 -> 185 -> 149 -> 125,0.3101086975884119,multiobjective,mantida por diversidade estrutural
125,32,8,4,150 -> 185 -> 149 -> 125,0.2860477985297668,multiobjective,mantida por diversidade estrutural
126,30,8,4,150 -> 120 -> 15 -> 126,0.2864692248261654,multiobjective,mantida por diversidade estrutural
126,84,8,4,150 -> 120 -> 15 -> 126,0.2864692248261653,multiobjective,mantida por diversidade estrutural
126,87,8,4,150 -> 120 -> 15 -> 126,0.2857116490685896,multiobjective,mantida por diversidade estrutural
93,66,10,4,150 -> 120 -> 15 -> 93,0.331670744714223,multiobjective,mantida por diversidade estrutural
93,166,8,4,150 -> 120 -> 15 -> 93,0.2873128803563586,multiobjective,mantida por diversidade estrutural
93,77,8,4,150 -> 120 -> 15 -> 93,0.28501579661111676,multiobjective,mantida por diversidade estrutural
89,28,9,4,150 -> 120 -> 15 -> 89,0.3104521567021567,multiobjective,mantida por diversidade estrutural
89,181,9,4,150 -> 120 -> 15 -> 89,0.30888352817826337,multiobjective,mantida por diversidade estrutural
89,74,9,4,150 -> 120 -> 15 -> 89,0.3085582173082173,multiobjective,mantida por diversidade estrutural
139,82,9,4,150 -> 120 -> 122 -> 139,0.3098709122325079,multiobjective,mantida por diversidade estrutural
139,53,8,4,150 -> 120 -> 122 -> 139,0.2888246492571787,multiobjective,mantida por diversidade estrutural
139,117,8,4,150 -> 120 -> 122 -> 139,0.28579434622687566,multiobjective,mantida por diversidade estrutural
100,166,12,4,150 -> 120 -> 122 -> 100,0.38148309492870675,multiobjective,mantida por diversidade estrutural
100,143,9,4,150 -> 120 -> 122 -> 100,0.3109374960217049,multiobjective,mantida por diversidade estrutural
100,68,9,4,150 -> 120 -> 122 -> 100,0.3076449552291641,multiobjective,mantida por diversidade estrutural
81,159,9,4,150 -> 120 -> 122 -> 81,0.30957176775142925,multiobjective,mantida por diversidade estrutural
81,90,8,4,150 -> 120 -> 122 -> 81,0.2891495274388562,multiobjective,mantida por diversidade estrutural
81,10,8,4,150 -> 120 -> 122 -> 81,0.28739587985187526,multiobjective,mantida por diversidade estrutural
197,24,9,4,150 -> 120 -> 84 -> 197,0.3101753740013592,multiobjective,mantida por diversidade estrutural
197,38,9,4,150 -> 120 -> 84 -> 197,0.3094177982437834,multiobjective,mantida por diversidade estrutural
197,39,9,4,150 -> 120 -> 84 -> 197,0.30903901036499554,multiobjective,mantida por diversidade estrutural
10,102,9,4,150 -> 120 -> 84 -> 10,0.30983332201598823,multiobjective,mantida por diversidade estrutural
10,119,9,4,150 -> 120 -> 84 -> 10,0.30945453413720037,multiobjective,mantida por diversidade estrutural
10,179,9,4,150 -> 120 -> 84 -> 10,0.3086969583796246,multiobjective,mantida por diversidade estrutural
153,175,9,4,150 -> 120 -> 84 -> 153,0.3095257402742199,multiobjective,mantida por diversidade estrutural
153,106,8,4,150 -> 120 -> 84 -> 153,0.28771816643903725,multiobjective,mantida por diversidade estrutural
153,160,8,4,150 -> 120 -> 84 -> 153,0.28622826744913826,multiobjective,mantida por diversidade estrutural
78,15,9,4,150 -> 132 -> 72 -> 78,0.3095156289563597,multiobjective,mantida por diversidade estrutural
78,141,9,4,150 -> 132 -> 72 -> 78,0.30793938262204884,multiobjective,mantida por diversidade estrutural
78,47,8,4,150 -> 132 -> 72 -> 78,0.28803365997380775,multiobjective,mantida por diversidade estrutural
160,135,9,4,150 -> 132 -> 72 -> 160,0.31167696389249117,multiobjective,mantida por diversidade estrutural
160,16,8,4,150 -> 132 -> 72 -> 160,0.2876101631906319,multiobjective,mantida por diversidade estrutural
160,70,8,4,150 -> 132 -> 72 -> 160,0.2860950116754803,multiobjective,mantida por diversidade estrutural
7,184,10,4,150 -> 132 -> 72 -> 7,0.3314656875694268,multiobjective,mantida por diversidade estrutural
7,172,9,4,150 -> 132 -> 72 -> 7,0.31081911881248414,multiobjective,mantida por diversidade estrutural
7,163,9,4,150 -> 132 -> 72 -> 7,0.31006154305490835,multiobjective,mantida por diversidade estrutural
168,179,11,4,150 -> 132 -> 109 -> 168,0.3557968942979946,multiobjective,mantida por diversidade estrutural
168,155,9,4,150 -> 132 -> 109 -> 168,0.31151450645123563,multiobjective,mantida por diversidade estrutural
168,66,9,4,150 -> 132 -> 109 -> 168,0.3078825991428577,multiobjective,mantida por diversidade estrutural
37,85,8,4,150 -> 132 -> 109 -> 37,0.2876222179675381,multiobjective,mantida por diversidade estrutural
37,106,8,4,150 -> 132 -> 109 -> 37,0.28714602749134766,multiobjective,mantida por diversidade estrutural
37,195,8,4,150 -> 132 -> 109 -> 37,0.28714602749134766,multiobjective,mantida por diversidade estrutural
