From,To,Weight,RelativeWeight,Rank
1,181,9,1.2968299711815563,1
1,47,9,1.2968299711815563,2
1,66,9,1.2968299711815563,3
1,120,8,1.1527377521613833,4
1,189,8,1.1527377521613833,5
1,192,8,1.1527377521613833,6
1,170,7,1.0086455331412103,7
1,175,7,1.0086455331412103,8
1,178,7,1.0086455331412103,9
1,45,7,1.0086455331412103,10
1,61,7,1.0086455331412103,11
1,102,6,0.8645533141210375,12
1,144,6,0.8645533141210375,13
1,148,6,0.8645533141210375,14
1,163,6,0.8645533141210375,15
1,34,6,0.8645533141210375,16
1,41,6,0.8645533141210375,17
1,43,6,0.8645533141210375,18
1,48,6,0.8645533141210375,19
1,54,6,0.8645533141210375,20
1,58,6,0.8645533141210375,21
1,10,5,0.7204610951008645,22
1,107,5,0.7204610951008645,23
1,111,5,0.7204610951008645,24
1,114,5,0.7204610951008645,25
1,119,5,0.7204610951008645,26
1,137,5,0.7204610951008645,27
1,139,5,0.7204610951008645,28
1,140,5,0.7204610951008645,29
1,147,5,0.7204610951008645,30
1,161,5,0.7204610951008645,31
1,180,5,0.7204610951008645,32
1,186,5,0.7204610951008645,33
1,187,5,0.7204610951008645,34
1,191,5,0.7204610951008645,35
1,2,5,0.7204610951008645,36
1,24,5,0.7204610951008645,37
1,27,5,0.7204610951008645,38
1,29,5,0.7204610951008645,39
1,32,5,0.7204610951008645,40
1,42,5,0.7204610951008645,41
1,50,5,0.7204610951008645,42
1,67,5,0.7204610951008645,43
1,72,5,0.7204610951008645,44
1,77,5,0.7204610951008645,45
1,90,5,0.7204610951008645,46
1,97,5,0.7204610951008645,47
1,101,4,0.5763688760806917,48
1,103,4,0.5763688760806917,49
1,106,4,0.5763688760806917,50
1,108,4,0.5763688760806917,51
1,12,4,0.5763688760806917,52
1,127,4,0.5763688760806917,53
1,131,4,0.5763688760806917,54
1,134,4,0.5763688760806917,55
1,135,4,0.5763688760806917,56
1,136,4,0.5763688760806917,57
1,14,4,0.5763688760806917,58
1,141,4,0.5763688760806917,59
1,146,4,0.5763688760806917,60
1,15,4,0.5763688760806917,61
1,150,4,0.5763688760806917,62
1,154,4,0.5763688760806917,63
1,158,4,0.5763688760806917,64
1,164,4,0.5763688760806917,65
1,17,4,0.5763688760806917,66
1,172,4,0.5763688760806917,67
1,174,4,0.5763688760806917,68
1,177,4,0.5763688760806917,69
1,182,4,0.5763688760806917,70
1,183,4,0.5763688760806917,71
1,184,4,0.5763688760806917,72
1,188,4,0.5763688760806917,73
1,190,4,0.5763688760806917,74
1,193,4,0.5763688760806917,75
1,199,4,0.5763688760806917,76
1,21,4,0.5763688760806917,77
1,23,4,0.5763688760806917,78
1,37,4,0.5763688760806917,79
1,38,4,0.5763688760806917,80
1,4,4,0.5763688760806917,81
1,5,4,0.5763688760806917,82
1,52,4,0.5763688760806917,83
1,53,4,0.5763688760806917,84
1,57,4,0.5763688760806917,85
1,62,4,0.5763688760806917,86
1,64,4,0.5763688760806917,87
1,65,4,0.5763688760806917,88
1,7,4,0.5763688760806917,89
1,82,4,0.5763688760806917,90
1,87,4,0.5763688760806917,91
1,89,4,0.5763688760806917,92
1,91,4,0.5763688760806917,93
1,98,4,0.5763688760806917,94
1,1,3,0.43227665706051877,95
1,105,3,0.43227665706051877,96
1,11,3,0.43227665706051877,97
1,112,3,0.43227665706051877,98
1,121,3,0.43227665706051877,99
1,125,3,0.43227665706051877,100
1,128,3,0.43227665706051877,101
1,130,3,0.43227665706051877,102
1,142,3,0.43227665706051877,103
1,143,3,0.43227665706051877,104
1,149,3,0.43227665706051877,105
1,152,3,0.43227665706051877,106
1,155,3,0.43227665706051877,107
1,16,3,0.43227665706051877,108
1,162,3,0.43227665706051877,109
1,165,3,0.43227665706051877,110
1,166,3,0.43227665706051877,111
1,168,3,0.43227665706051877,112
1,176,3,0.43227665706051877,113
1,185,3,0.43227665706051877,114
1,19,3,0.43227665706051877,115
1,197,3,0.43227665706051877,116
1,20,3,0.43227665706051877,117
1,25,3,0.43227665706051877,118
1,3,3,0.43227665706051877,119
1,31,3,0.43227665706051877,120
1,33,3,0.43227665706051877,121
1,39,3,0.43227665706051877,122
1,51,3,0.43227665706051877,123
1,55,3,0.43227665706051877,124
1,59,3,0.43227665706051877,125
1,71,3,0.43227665706051877,126
1,74,3,0.43227665706051877,127
1,81,3,0.43227665706051877,128
1,84,3,0.43227665706051877,129
