From,To,Weight,Level
SOURCE,1,49,1
SOURCE,10,59,1
SOURCE,100,44,1
SOURCE,101,51,1
SOURCE,102,58,1
SOURCE,103,58,1
SOURCE,104,51,1
SOURCE,105,50,1
SOURCE,106,53,1
SOURCE,107,46,1
SOURCE,108,54,1
SOURCE,109,48,1
SOURCE,11,53,1
SOURCE,110,51,1
SOURCE,111,54,1
SOURCE,112,47,1
SOURCE,113,54,1
SOURCE,114,50,1
SOURCE,115,46,1
SOURCE,116,52,1
SOURCE,117,37,1
SOURCE,118,54,1
SOURCE,119,43,1
SOURCE,12,62,1
SOURCE,120,53,1
SOURCE,121,40,1
SOURCE,122,36,1
SOURCE,123,55,1
SOURCE,124,50,1
SOURCE,125,60,1
SOURCE,126,57,1
SOURCE,127,44,1
SOURCE,128,47,1
SOURCE,129,41,1
SOURCE,13,48,1
SOURCE,130,61,1
SOURCE,131,46,1
SOURCE,132,44,1
SOURCE,133,52,1
SOURCE,134,41,1
SOURCE,135,55,1
SOURCE,136,36,1
SOURCE,137,48,1
SOURCE,138,58,1
SOURCE,139,50,1
SOURCE,14,51,1
SOURCE,140,48,1
SOURCE,141,54,1
SOURCE,142,53,1
SOURCE,143,47,1
SOURCE,144,52,1
SOURCE,145,46,1
SOURCE,146,49,1
SOURCE,147,48,1
SOURCE,148,46,1
SOURCE,149,50,1
SOURCE,15,49,1
SOURCE,150,55,1
SOURCE,151,46,1
SOURCE,152,37,1
SOURCE,153,51,1
SOURCE,154,49,1
SOURCE,155,49,1
SOURCE,156,54,1
SOURCE,157,37,1
SOURCE,158,49,1
SOURCE,159,61,1
SOURCE,16,48,1
SOURCE,160,49,1
SOURCE,161,41,1
SOURCE,162,51,1
SOURCE,163,55,1
SOURCE,164,49,1
SOURCE,165,50,1
SOURCE,166,50,1
SOURCE,167,58,1
SOURCE,168,48,1
SOURCE,169,57,1
SOURCE,17,46,1
SOURCE,170,56,1
SOURCE,171,39,1
SOURCE,172,52,1
SOURCE,173,62,1
SOURCE,174,49,1
SOURCE,175,47,1
SOURCE,176,52,1
SOURCE,177,57,1
SOURCE,178,42,1
SOURCE,179,41,1
SOURCE,18,51,1
SOURCE,180,45,1
SOURCE,181,46,1
SOURCE,182,54,1
SOURCE,183,49,1
SOURCE,184,45,1
SOURCE,185,48,1
SOURCE,186,50,1
SOURCE,187,44,1
SOURCE,188,66,1
SOURCE,189,47,1
SOURCE,19,48,1
SOURCE,190,42,1
SOURCE,191,55,1
SOURCE,192,59,1
SOURCE,193,51,1
SOURCE,194,47,1
SOURCE,195,50,1
SOURCE,196,50,1
SOURCE,197,45,1
SOURCE,198,57,1
SOURCE,199,49,1
SOURCE,2,44,1
SOURCE,20,51,1
SOURCE,200,40,1
SOURCE,21,57,1
SOURCE,22,51,1
SOURCE,23,57,1
SOURCE,24,50,1
SOURCE,25,46,1
SOURCE,26,49,1
SOURCE,27,43,1
SOURCE,28,51,1
SOURCE,29,61,1
SOURCE,3,40,1
SOURCE,30,45,1
SOURCE,31,41,1
SOURCE,32,46,1
SOURCE,33,56,1
SOURCE,34,53,1
SOURCE,35,38,1
SOURCE,36,51,1
SOURCE,37,51,1
SOURCE,38,50,1
SOURCE,39,41,1
SOURCE,4,53,1
SOURCE,40,39,1
SOURCE,41,47,1
SOURCE,42,55,1
SOURCE,43,54,1
SOURCE,44,49,1
SOURCE,45,38,1
SOURCE,46,47,1
SOURCE,47,52,1
SOURCE,48,51,1
SOURCE,49,57,1
SOURCE,5,52,1
SOURCE,50,54,1
SOURCE,51,65,1
SOURCE,52,59,1
SOURCE,53,38,1
SOURCE,54,41,1
SOURCE,55,49,1
SOURCE,56,44,1
SOURCE,57,52,1
SOURCE,58,62,1
SOURCE,59,49,1
SOURCE,6,49,1
SOURCE,60,50,1
SOURCE,61,63,1
SOURCE,62,59,1
SOURCE,63,50,1
SOURCE,64,54,1
SOURCE,65,46,1
SOURCE,66,53,1
SOURCE,67,42,1
SOURCE,68,45,1
SOURCE,69,44,1
SOURCE,7,56,1
SOURCE,70,49,1
SOURCE,71,47,1
SOURCE,72,53,1
SOURCE,73,68,1
SOURCE,74,42,1
SOURCE,75,48,1
SOURCE,76,54,1
SOURCE,77,48,1
SOURCE,78,38,1
SOURCE,79,61,1
SOURCE,8,65,1
SOURCE,80,42,1
SOURCE,81,49,1
SOURCE,82,50,1
SOURCE,83,47,1
SOURCE,84,56,1
SOURCE,85,51,1
SOURCE,86,60,1
SOURCE,87,46,1
SOURCE,88,58,1
SOURCE,89,67,1
SOURCE,9,51,1
SOURCE,90,56,1
SOURCE,91,41,1
SOURCE,92,59,1
SOURCE,93,52,1
SOURCE,94,50,1
SOURCE,95,45,1
SOURCE,96,44,1
SOURCE,97,50,1
SOURCE,98,55,1
SOURCE,99,44,1
94,SINK,68,2
