From,To,Weight,Level,Method,IsRootedBranching
SOURCE,10065,1,1,networkx_arborescence,True
SOURCE,11945,1,1,networkx_arborescence,True
SOURCE,16518,1,1,networkx_arborescence,True
SOURCE,18175,1,1,networkx_arborescence,True
SOURCE,19014,1,1,networkx_arborescence,True
SOURCE,21565,1,1,networkx_arborescence,True
SOURCE,25214,1,1,networkx_arborescence,True
SOURCE,26362,1,1,networkx_arborescence,True
SOURCE,27158,1,1,networkx_arborescence,True
SOURCE,2898,1,1,networkx_arborescence,True
SOURCE,3514,1,1,networkx_arborescence,True
SOURCE,3707,1,1,networkx_arborescence,True
SOURCE,418754,1,1,networkx_arborescence,True
SOURCE,45475,1,1,networkx_arborescence,True
SOURCE,5786,1,1,networkx_arborescence,True
SOURCE,6241,1,1,networkx_arborescence,True
SOURCE,691,1,1,networkx_arborescence,True
10065,4204,1,2,networkx_arborescence,True
11945,7165,1,2,networkx_arborescence,True
16518,7933,1,2,networkx_arborescence,True
18175,10710,1,2,networkx_arborescence,True
19014,3991,1,2,networkx_arborescence,True
21565,11300,1,2,networkx_arborescence,True
25214,3266,1,2,networkx_arborescence,True
26362,4827,1,2,networkx_arborescence,True
27158,8574,1,2,networkx_arborescence,True
2898,191,1,2,networkx_arborescence,True
3514,4951,1,2,networkx_arborescence,True
3707,784,1,2,networkx_arborescence,True
418754,73819,1,2,networkx_arborescence,True
45475,222134,1,2,networkx_arborescence,True
5786,2736,1,2,networkx_arborescence,True
6241,8169,1,2,networkx_arborescence,True
691,223,1,2,networkx_arborescence,True
10710,5928,1,3,networkx_arborescence,True
11300,3629,1,3,networkx_arborescence,True
191,601,1,3,networkx_arborescence,True
222134,10838,1,3,networkx_arborescence,True
223,32,1,3,networkx_arborescence,True
2736,849,1,3,networkx_arborescence,True
3266,811,1,3,networkx_arborescence,True
3991,1816,1,3,networkx_arborescence,True
4204,5304,1,3,networkx_arborescence,True
4827,2557,1,3,networkx_arborescence,True
4951,2408,1,3,networkx_arborescence,True
7165,2825,1,3,networkx_arborescence,True
73819,23795,1,3,networkx_arborescence,True
784,370,1,3,networkx_arborescence,True
7933,71883,1,3,networkx_arborescence,True
8169,1475,1,3,networkx_arborescence,True
8574,5677,1,3,networkx_arborescence,True
10838,11168,1,4,networkx_arborescence,True
1475,3350,1,4,networkx_arborescence,True
1816,2367,1,4,networkx_arborescence,True
23795,27130,1,4,networkx_arborescence,True
2408,1043,1,4,networkx_arborescence,True
2557,3352,1,4,networkx_arborescence,True
2825,1826,1,4,networkx_arborescence,True
