From,To,Weight,TransitionType
118,55,15,normal_transition
41,139,14,normal_transition
62,169,13,normal_transition
65,43,13,normal_transition
98,65,13,normal_transition
100,166,12,normal_transition
130,9,12,normal_transition
133,15,12,normal_transition
148,41,12,normal_transition
149,149,12,normal_transition
191,86,12,normal_transition
194,122,12,normal_transition
25,182,12,normal_transition
29,151,12,normal_transition
49,30,12,normal_transition
69,198,12,normal_transition
80,13,12,normal_transition
85,15,12,normal_transition
9,198,12,normal_transition
102,181,11,normal_transition
112,158,11,normal_transition
129,159,11,normal_transition
130,50,11,normal_transition
136,48,11,normal_transition
138,170,11,normal_transition
163,165,11,normal_transition
168,179,11,normal_transition
178,159,11,normal_transition
185,131,11,normal_transition
27,54,11,normal_transition
29,14,11,normal_transition
32,3,11,normal_transition
41,124,11,normal_transition
41,169,11,normal_transition
52,120,11,normal_transition
54,3,11,normal_transition
63,40,11,normal_transition
67,40,11,normal_transition
74,23,11,normal_transition
74,40,11,normal_transition
85,106,11,normal_transition
91,188,11,normal_transition
101,169,10,normal_transition
101,76,10,normal_transition
101,77,10,normal_transition
104,195,10,normal_transition
105,184,10,normal_transition
106,162,10,normal_transition
108,15,10,normal_transition
108,8,10,normal_transition
108,99,10,normal_transition
109,168,10,normal_transition
11,62,10,normal_transition
111,110,10,normal_transition
111,78,10,normal_transition
112,185,10,normal_transition
112,195,10,normal_transition
112,78,10,normal_transition
113,133,10,normal_transition
113,48,10,normal_transition
114,199,10,normal_transition
12,182,10,normal_transition
120,15,10,normal_transition
125,174,10,normal_transition
129,76,10,normal_transition
131,89,10,normal_transition
132,72,10,normal_transition
133,41,10,normal_transition
133,98,10,normal_transition
134,121,10,normal_transition
134,71,10,normal_transition
138,132,10,normal_transition
14,3,10,normal_transition
141,200,10,normal_transition
143,99,10,normal_transition
144,94,10,normal_transition
148,176,10,normal_transition
154,29,10,normal_transition
157,168,10,normal_transition
159,103,10,normal_transition
162,165,10,normal_transition
163,11,10,normal_transition
164,15,10,normal_transition
166,81,10,normal_transition
167,161,10,normal_transition
177,2,10,normal_transition
18,160,10,normal_transition
181,121,10,normal_transition
186,153,10,normal_transition
189,194,10,normal_transition
190,34,10,normal_transition
192,83,10,normal_transition
196,9,10,normal_transition
21,80,10,normal_transition
26,178,10,normal_transition
29,147,10,normal_transition
29,170,10,normal_transition
29,64,10,normal_transition
3,115,10,normal_transition
30,85,10,normal_transition
32,89,10,normal_transition
33,136,10,normal_transition
35,137,10,normal_transition
35,15,10,normal_transition
35,178,10,normal_transition
35,27,10,normal_transition
38,165,10,normal_transition
4,117,10,normal_transition
42,148,10,normal_transition
44,140,10,normal_transition
45,141,10,normal_transition
46,66,10,normal_transition
48,162,10,normal_transition
5,176,10,normal_transition
5,80,10,normal_transition
54,188,10,normal_transition
55,55,10,normal_transition
56,40,10,normal_transition
57,102,10,normal_transition
61,84,10,normal_transition
65,157,10,normal_transition
67,104,10,normal_transition
69,55,10,normal_transition
7,184,10,normal_transition
70,11,10,normal_transition
70,17,10,normal_transition
76,170,10,normal_transition
83,134,10,normal_transition
85,35,10,normal_transition
87,172,10,normal_transition
87,18,10,normal_transition
93,66,10,normal_transition
1,181,9,normal_transition
1,47,9,normal_transition
1,66,9,normal_transition
10,102,9,normal_transition
10,119,9,normal_transition
10,179,9,normal_transition
100,143,9,normal_transition
100,150,9,normal_transition
100,68,9,normal_transition
102,103,9,normal_transition
102,147,9,normal_transition
102,177,9,normal_transition
102,38,9,normal_transition
103,166,9,normal_transition
103,20,9,normal_transition
103,43,9,normal_transition
106,158,9,normal_transition
106,174,9,normal_transition
106,193,9,normal_transition
106,60,9,normal_transition
107,92,9,normal_transition
108,77,9,normal_transition
109,37,9,normal_transition
11,166,9,normal_transition
11,46,9,normal_transition
11,84,9,normal_transition
111,108,9,normal_transition
113,163,9,normal_transition
115,15,9,normal_transition
116,98,9,normal_transition
117,64,9,normal_transition
118,100,9,normal_transition
119,90,9,normal_transition
121,167,9,normal_transition
122,139,9,normal_transition
123,183,9,normal_transition
125,57,9,normal_transition
127,189,9,normal_transition
128,162,9,normal_transition
129,124,9,normal_transition
129,67,9,normal_transition
13,184,9,normal_transition
130,129,9,normal_transition
130,175,9,normal_transition
131,177,9,normal_transition
132,109,9,normal_transition
133,48,9,normal_transition
133,7,9,normal_transition
134,39,9,normal_transition
135,152,9,normal_transition
135,179,9,normal_transition
136,199,9,normal_transition
137,38,9,normal_transition
138,189,9,normal_transition
138,49,9,normal_transition
138,87,9,normal_transition
139,82,9,normal_transition
140,155,9,normal_transition
140,97,9,normal_transition
142,123,9,normal_transition
143,192,9,normal_transition
143,52,9,normal_transition
144,102,9,normal_transition
146,185,9,normal_transition
146,79,9,normal_transition
147,32,9,normal_transition
148,51,9,normal_transition
148,83,9,normal_transition
149,151,9,normal_transition
149,48,9,normal_transition
150,120,9,normal_transition
150,132,9,normal_transition
150,185,9,normal_transition
151,1,9,normal_transition
151,56,9,normal_transition
152,77,9,normal_transition
153,175,9,normal_transition
154,150,9,normal_transition
155,7,9,normal_transition
156,125,9,normal_transition
159,59,9,normal_transition
16,42,9,normal_transition
16,66,9,normal_transition
160,135,9,normal_transition
161,150,9,normal_transition
161,3,9,normal_transition
161,63,9,normal_transition
163,110,9,normal_transition
164,83,9,normal_transition
165,183,9,normal_transition
166,72,9,normal_transition
167,122,9,normal_transition
168,155,9,normal_transition
168,66,9,normal_transition
169,10,9,normal_transition
169,196,9,normal_transition
169,86,9,normal_transition
17,162,9,normal_transition
171,94,9,normal_transition
171,95,9,normal_transition
172,153,9,normal_transition
173,150,9,normal_transition
174,156,9,normal_transition
175,173,9,normal_transition
175,7,9,normal_transition
176,170,9,normal_transition
176,25,9,normal_transition
176,31,9,normal_transition
176,7,9,normal_transition
178,174,9,normal_transition
178,36,9,normal_transition
179,45,9,normal_transition
18,178,9,normal_transition
181,167,9,normal_transition
181,82,9,normal_transition
182,40,9,normal_transition
185,15,9,normal_transition
187,96,9,normal_transition
188,148,9,normal_transition
188,179,9,normal_transition
189,108,9,normal_transition
189,181,9,normal_transition
189,195,9,normal_transition
19,142,9,normal_transition
192,192,9,normal_transition
192,36,9,normal_transition
193,159,9,normal_transition
193,17,9,normal_transition
194,1,9,normal_transition
194,107,9,normal_transition
194,116,9,normal_transition
194,177,9,normal_transition
195,122,9,normal_transition
195,133,9,normal_transition
196,43,9,normal_transition
196,63,9,normal_transition
197,117,9,normal_transition
197,24,9,normal_transition
197,38,9,normal_transition
197,39,9,normal_transition
198,104,9,normal_transition
198,193,9,normal_transition
199,22,9,normal_transition
20,137,9,normal_transition
20,166,9,normal_transition
21,20,9,normal_transition
23,193,9,normal_transition
24,107,9,normal_transition
24,88,9,normal_transition
26,188,9,normal_transition
27,60,9,normal_transition
29,5,9,normal_transition
3,28,9,normal_transition
31,175,9,normal_transition
32,118,9,normal_transition
33,104,9,normal_transition
36,145,9,normal_transition
36,189,9,normal_transition
38,155,9,normal_transition
38,84,9,normal_transition
4,154,9,normal_transition
4,16,9,normal_transition
4,161,9,normal_transition
4,165,9,normal_transition
4,38,9,normal_transition
4,56,9,normal_transition
40,162,9,normal_transition
40,95,9,normal_transition
41,12,9,normal_transition
41,161,9,normal_transition
43,4,9,normal_transition
43,7,9,normal_transition
43,87,9,normal_transition
46,3,9,normal_transition
47,42,9,normal_transition
48,102,9,normal_transition
48,111,9,normal_transition
48,145,9,normal_transition
48,45,9,normal_transition
49,69,9,normal_transition
5,143,9,normal_transition
50,126,9,normal_transition
50,58,9,normal_transition
51,115,9,normal_transition
51,149,9,normal_transition
51,150,9,normal_transition
51,175,9,normal_transition
52,129,9,normal_transition
53,167,9,normal_transition
53,69,9,normal_transition
57,41,9,normal_transition
58,153,9,normal_transition
59,63,9,normal_transition
59,68,9,normal_transition
6,117,9,normal_transition
6,51,9,normal_transition
61,133,9,normal_transition
62,118,9,normal_transition
62,95,9,normal_transition
63,92,9,normal_transition
67,55,9,normal_transition
68,163,9,normal_transition
69,135,9,normal_transition
69,196,9,normal_transition
69,72,9,normal_transition
7,163,9,normal_transition
7,172,9,normal_transition
70,160,9,normal_transition
70,54,9,normal_transition
71,85,9,normal_transition
72,78,9,normal_transition
73,108,9,normal_transition
73,150,9,normal_transition
73,200,9,normal_transition
73,56,9,normal_transition
75,133,9,normal_transition
75,99,9,normal_transition
76,172,9,normal_transition
77,110,9,normal_transition
77,148,9,normal_transition
78,141,9,normal_transition
78,15,9,normal_transition
79,10,9,normal_transition
79,131,9,normal_transition
8,1,9,normal_transition
80,125,9,normal_transition
81,159,9,normal_transition
84,197,9,normal_transition
85,183,9,normal_transition
85,51,9,normal_transition
86,111,9,normal_transition
86,6,9,normal_transition
87,142,9,normal_transition
87,28,9,normal_transition
87,43,9,normal_transition
87,81,9,normal_transition
88,154,9,normal_transition
89,129,9,normal_transition
89,181,9,normal_transition
89,28,9,normal_transition
89,74,9,normal_transition
9,189,9,normal_transition
90,7,9,normal_transition
92,68,9,normal_transition
96,140,9,normal_transition
97,42,9,normal_transition
99,47,9,normal_transition
1,120,8,normal_transition
1,189,8,normal_transition
1,192,8,normal_transition
10,142,8,normal_transition
10,143,8,normal_transition
10,147,8,normal_transition
10,200,8,normal_transition
10,27,8,normal_transition
100,197,8,normal_transition
100,198,8,normal_transition
100,24,8,normal_transition
100,35,8,normal_transition
100,8,8,normal_transition
101,107,8,normal_transition
101,16,8,normal_transition
101,192,8,normal_transition
101,52,8,normal_transition
102,118,8,normal_transition
102,88,8,normal_transition
103,113,8,normal_transition
103,127,8,normal_transition
103,150,8,normal_transition
104,85,8,normal_transition
104,90,8,normal_transition
105,111,8,normal_transition
105,147,8,normal_transition
105,150,8,normal_transition
105,160,8,normal_transition
105,5,8,normal_transition
105,94,8,normal_transition
106,141,8,normal_transition
106,45,8,normal_transition
106,7,8,normal_transition
107,141,8,normal_transition
107,163,8,normal_transition
107,164,8,normal_transition
107,187,8,normal_transition
107,61,8,normal_transition
107,83,8,normal_transition
108,158,8,normal_transition
108,159,8,normal_transition
108,165,8,normal_transition
109,164,8,normal_transition
109,200,8,normal_transition
109,4,8,normal_transition
11,53,8,normal_transition
110,120,8,normal_transition
110,140,8,normal_transition
110,38,8,normal_transition
111,102,8,normal_transition
111,13,8,normal_transition
111,43,8,normal_transition
112,6,8,normal_transition
112,92,8,normal_transition
112,96,8,normal_transition
112,97,8,normal_transition
113,61,8,normal_transition
113,88,8,normal_transition
113,91,8,normal_transition
114,136,8,normal_transition
114,173,8,normal_transition
115,113,8,normal_transition
115,20,8,normal_transition
115,75,8,normal_transition
116,104,8,normal_transition
116,119,8,normal_transition
116,43,8,normal_transition
116,48,8,normal_transition
116,89,8,normal_transition
117,115,8,normal_transition
117,141,8,normal_transition
117,157,8,normal_transition
117,35,8,normal_transition
118,113,8,normal_transition
118,73,8,normal_transition
119,123,8,normal_transition
119,17,8,normal_transition
119,74,8,normal_transition
12,62,8,normal_transition
12,96,8,normal_transition
120,122,8,normal_transition
120,159,8,normal_transition
120,58,8,normal_transition
120,60,8,normal_transition
120,84,8,normal_transition
121,111,8,normal_transition
121,190,8,normal_transition
121,23,8,normal_transition
121,45,8,normal_transition
121,50,8,normal_transition
122,100,8,normal_transition
122,186,8,normal_transition
122,81,8,normal_transition
122,91,8,normal_transition
123,108,8,normal_transition
123,195,8,normal_transition
123,35,8,normal_transition
123,54,8,normal_transition
123,75,8,normal_transition
123,82,8,normal_transition
123,98,8,normal_transition
124,160,8,normal_transition
124,45,8,normal_transition
125,104,8,normal_transition
125,32,8,normal_transition
126,30,8,normal_transition
126,84,8,normal_transition
126,87,8,normal_transition
127,102,8,normal_transition
127,116,8,normal_transition
127,64,8,normal_transition
128,176,8,normal_transition
128,177,8,normal_transition
128,195,8,normal_transition
129,144,8,normal_transition
129,165,8,normal_transition
129,194,8,normal_transition
13,146,8,normal_transition
13,48,8,normal_transition
130,192,8,normal_transition
130,195,8,normal_transition
130,62,8,normal_transition
130,89,8,normal_transition
130,97,8,normal_transition
131,142,8,normal_transition
131,18,8,normal_transition
131,32,8,normal_transition
131,44,8,normal_transition
132,17,8,normal_transition
132,189,8,normal_transition
133,135,8,normal_transition
133,49,8,normal_transition
133,71,8,normal_transition
133,92,8,normal_transition
134,65,8,normal_transition
134,73,8,normal_transition
135,121,8,normal_transition
135,145,8,normal_transition
135,200,8,normal_transition
135,48,8,normal_transition
135,62,8,normal_transition
136,107,8,normal_transition
136,133,8,normal_transition
136,187,8,normal_transition
137,119,8,normal_transition
137,126,8,normal_transition
137,180,8,normal_transition
137,39,8,normal_transition
137,74,8,normal_transition
138,114,8,normal_transition
138,127,8,normal_transition
138,134,8,normal_transition
138,149,8,normal_transition
138,76,8,normal_transition
139,117,8,normal_transition
139,164,8,normal_transition
139,179,8,normal_transition
139,187,8,normal_transition
139,48,8,normal_transition
139,53,8,normal_transition
14,154,8,normal_transition
14,165,8,normal_transition
14,195,8,normal_transition
14,43,8,normal_transition
14,55,8,normal_transition
14,65,8,normal_transition
140,151,8,normal_transition
140,2,8,normal_transition
141,167,8,normal_transition
141,54,8,normal_transition
142,142,8,normal_transition
142,147,8,normal_transition
142,168,8,normal_transition
142,21,8,normal_transition
142,83,8,normal_transition
143,166,8,normal_transition
143,18,8,normal_transition
143,6,8,normal_transition
143,60,8,normal_transition
144,120,8,normal_transition
144,121,8,normal_transition
144,169,8,normal_transition
144,178,8,normal_transition
145,39,8,normal_transition
145,72,8,normal_transition
146,118,8,normal_transition
147,132,8,normal_transition
147,186,8,normal_transition
147,83,8,normal_transition
148,186,8,normal_transition
148,54,8,normal_transition
148,84,8,normal_transition
149,125,8,normal_transition
149,58,8,normal_transition
149,59,8,normal_transition
15,125,8,normal_transition
15,126,8,normal_transition
15,41,8,normal_transition
15,89,8,normal_transition
15,92,8,normal_transition
15,93,8,normal_transition
150,140,8,normal_transition
150,35,8,normal_transition
150,55,8,normal_transition
150,57,8,normal_transition
150,68,8,normal_transition
151,104,8,normal_transition
151,136,8,normal_transition
151,94,8,normal_transition
152,122,8,normal_transition
152,142,8,normal_transition
152,147,8,normal_transition
153,106,8,normal_transition
153,160,8,normal_transition
153,22,8,normal_transition
153,99,8,normal_transition
154,25,8,normal_transition
155,139,8,normal_transition
155,148,8,normal_transition
155,163,8,normal_transition
155,46,8,normal_transition
156,190,8,normal_transition
156,31,8,normal_transition
157,107,8,normal_transition
157,68,8,normal_transition
158,122,8,normal_transition
158,180,8,normal_transition
158,192,8,normal_transition
159,121,8,normal_transition
159,159,8,normal_transition
159,187,8,normal_transition
159,53,8,normal_transition
159,54,8,normal_transition
159,61,8,normal_transition
159,94,8,normal_transition
16,105,8,normal_transition
16,199,8,normal_transition
16,29,8,normal_transition
160,154,8,normal_transition
160,16,8,normal_transition
160,70,8,normal_transition
160,79,8,normal_transition
162,176,8,normal_transition
162,7,8,normal_transition
163,199,8,normal_transition
163,2,8,normal_transition
163,42,8,normal_transition
164,109,8,normal_transition
164,190,8,normal_transition
164,98,8,normal_transition
165,130,8,normal_transition
165,149,8,normal_transition
165,24,8,normal_transition
165,94,8,normal_transition
166,135,8,normal_transition
166,187,8,normal_transition
166,88,8,normal_transition
167,105,8,normal_transition
167,56,8,normal_transition
168,3,8,normal_transition
168,40,8,normal_transition
168,99,8,normal_transition
169,1,8,normal_transition
169,161,8,normal_transition
169,79,8,normal_transition
17,154,8,normal_transition
17,163,8,normal_transition
17,164,8,normal_transition
17,185,8,normal_transition
17,28,8,normal_transition
17,68,8,normal_transition
17,82,8,normal_transition
170,110,8,normal_transition
170,160,8,normal_transition
170,167,8,normal_transition
170,171,8,normal_transition
171,187,8,normal_transition
171,90,8,normal_transition
172,106,8,normal_transition
172,130,8,normal_transition
172,173,8,normal_transition
172,55,8,normal_transition
173,134,8,normal_transition
173,177,8,normal_transition
173,83,8,normal_transition
173,88,8,normal_transition
174,134,8,normal_transition
174,166,8,normal_transition
174,28,8,normal_transition
175,141,8,normal_transition
175,65,8,normal_transition
176,12,8,normal_transition
176,128,8,normal_transition
176,149,8,normal_transition
176,150,8,normal_transition
176,189,8,normal_transition
176,19,8,normal_transition
176,42,8,normal_transition
177,159,8,normal_transition
177,9,8,normal_transition
178,157,8,normal_transition
178,162,8,normal_transition
178,170,8,normal_transition
178,29,8,normal_transition
178,39,8,normal_transition
178,45,8,normal_transition
178,49,8,normal_transition
178,63,8,normal_transition
179,1,8,normal_transition
179,117,8,normal_transition
179,139,8,normal_transition
179,140,8,normal_transition
