customer,timestamp,item,next_item,sequence_position
S001,1,190,24,1
S001,2,24,86,2
S001,3,86,120,3
S001,4,120,186,4
S001,5,186,51,5
S001,6,51,33,6
S001,7,33,155,7
S001,8,155,108,8
S001,9,108,174,9
S001,10,174,164,10
S001,11,164,66,11
S001,12,66,34,12
S001,13,34,139,13
S001,14,139,119,14
S001,15,119,186,15
S001,16,186,69,16
S001,17,69,40,17
S001,18,40,62,18
S001,19,62,SINK,19
S002,1,110,70,1
S002,2,70,22,2
S002,3,22,123,3
S002,4,123,120,4
S002,5,120,97,5
S002,6,97,39,6
S002,7,39,165,7
S002,8,165,31,8
S002,9,31,178,9
S002,10,178,25,10
S002,11,25,114,11
S002,12,114,SINK,12
S003,1,18,91,1
S003,2,91,31,2
S003,3,31,22,3
S003,4,22,29,4
S003,5,29,32,5
S003,6,32,20,6
S003,7,20,49,7
S003,8,49,150,8
S003,9,150,197,9
S003,10,197,26,10
S003,11,26,10,11
S003,12,10,173,12
S003,13,173,192,13
S003,14,192,83,14
S003,15,83,97,15
S003,16,97,147,16
S003,17,147,1,17
S003,18,1,116,18
S003,19,116,SINK,19
S004,1,138,46,1
S004,2,46,76,2
S004,3,76,2,3
S004,4,2,70,4
S004,5,70,41,5
S004,6,41,22,6
S004,7,22,81,7
S004,8,81,43,8
S004,9,43,144,9
S004,10,144,113,10
S004,11,113,197,11
S004,12,197,30,12
S004,13,30,SINK,13
S005,1,116,62,1
S005,2,62,106,2
S005,3,106,180,3
S005,4,180,110,4
S005,5,110,21,5
S005,6,21,38,6
S005,7,38,179,7
S005,8,179,188,8
S005,9,188,191,9
S005,10,191,20,10
S005,11,20,146,11
S005,12,146,189,12
S005,13,189,69,13
S005,14,69,61,14
S005,15,61,45,15
S005,16,45,34,16
S005,17,34,65,17
S005,18,65,71,18
S005,19,71,SINK,19
S006,1,77,159,1
S006,2,159,146,2
S006,3,146,60,3
S006,4,60,18,4
S006,5,18,55,5
S006,6,55,3,6
S006,7,3,43,7
S006,8,43,68,8
S006,9,68,126,9
S006,10,126,159,10
S006,11,159,SINK,11
S007,1,108,59,1
S007,2,59,21,2
S007,3,21,21,3
S007,4,21,17,4
S007,5,17,21,5
S007,6,21,20,6
S007,7,20,16,7
S007,8,16,13,8
S007,9,13,182,9
S007,10,182,SINK,10
S008,1,137,112,1
S008,2,112,66,2
S008,3,66,20,3
S008,4,20,24,4
S008,5,24,109,5
S008,6,109,12,6
S008,7,12,107,7
S008,8,107,88,8
S008,9,88,12,9
S008,10,12,17,10
S008,11,17,177,11
S008,12,177,147,12
S008,13,147,39,13
S008,14,39,20,14
S008,15,20,147,15
S008,16,147,188,16
S008,17,188,130,17
S008,18,130,11,18
S008,19,11,16,19
S008,20,16,SINK,20
S009,1,154,158,1
S009,2,158,31,2
S009,3,31,128,3
S009,4,128,122,4
S009,5,122,134,5
S009,6,134,22,6
S009,7,22,127,7
S009,8,127,71,8
S009,9,71,119,9
S009,10,119,26,10
S009,11,26,158,11
S009,12,158,105,12
S009,13,105,23,13
S009,14,23,SINK,14
S010,1,43,198,1
S010,2,198,181,2
S010,3,181,22,3
S010,4,22,117,4
S010,5,117,141,5
S010,6,141,54,6
S010,7,54,142,7
S010,8,142,90,8
S010,9,90,2,9
S010,10,2,51,10
S010,11,51,54,11
S010,12,54,105,12
S010,13,105,108,13
S010,14,108,36,14
S010,15,36,125,15
S010,16,125,115,16
S010,17,115,86,17
S010,18,86,SINK,18
S011,1,196,173,1
S011,2,173,183,2
S011,3,183,119,3
S011,4,119,6,4
S011,5,6,166,5
S011,6,166,70,6
S011,7,70,77,7
S011,8,77,13,8
S011,9,13,88,9
S011,10,88,9,10
S011,11,9,167,11
S011,12,167,56,12
S011,13,56,SINK,13
S012,1,102,76,1
S012,2,76,144,2
S012,3,144,86,3
S012,4,86,26,4
S012,5,26,58,5
S012,6,58,16,6
S012,7,16,109,7
S012,8,109,122,8
S012,9,122,144,9
S012,10,144,3,10
S012,11,3,99,11
S012,12,99,24,12
S012,13,24,191,13
S012,14,191,42,14
S012,15,42,88,15
S012,16,88,SINK,16
S013,1,76,119,1
S013,2,119,81,2
S013,3,81,34,3
S013,4,34,169,4
S013,5,169,91,5
S013,6,91,86,6
S013,7,86,65,7
S013,8,65,16,8
S013,9,16,29,9
S013,10,29,179,10
S013,11,179,194,11
S013,12,194,72,12
S013,13,72,12,13
S013,14,12,155,14
S013,15,155,114,15
S013,16,114,181,16
S013,17,181,SINK,17
S014,1,5,103,1
S014,2,103,146,2
S014,3,146,54,3
S014,4,54,153,4
S014,5,153,124,5
S014,6,124,57,6
S014,7,57,182,7
S014,8,182,75,8
S014,9,75,99,9
S014,10,99,196,10
S014,11,196,200,11
S014,12,200,189,12
S014,13,189,103,13
S014,14,103,9,14
S014,15,9,56,15
S014,16,56,SINK,16
S015,1,56,126,1
S015,2,126,61,2
S015,3,61,152,3
S015,4,152,39,4
S015,5,39,89,5
S015,6,89,61,6
S015,7,61,24,7
S015,8,24,21,8
S015,9,21,164,9
S015,10,164,29,10
S015,11,29,84,11
S015,12,84,156,12
S015,13,156,42,13
S015,14,42,58,14
S015,15,58,79,15
S015,16,79,21,16
S015,17,21,85,17
S015,18,85,149,18
S015,19,149,40,19
S015,20,40,SINK,20
S016,1,143,133,1
S016,2,133,152,2
S016,3,152,98,3
S016,4,98,125,4
S016,5,125,52,5
S016,6,52,20,6
S016,7,20,141,7
S016,8,141,195,8
S016,9,195,141,9
S016,10,141,104,10
S016,11,104,164,11
S016,12,164,11,12
S016,13,11,89,13
S016,14,89,22,14
S016,15,22,163,15
S016,16,163,131,16
S016,17,131,16,17
S016,18,16,SINK,18
S017,1,180,103,1
S017,2,103,23,2
S017,3,23,94,3
S017,4,94,139,4
S017,5,139,112,5
S017,6,112,163,6
S017,7,163,54,7
S017,8,54,110,8
S017,9,110,141,9
S017,10,141,43,10
S017,11,43,160,11
S017,12,160,140,12
S017,13,140,SINK,13
S018,1,102,123,1
S018,2,123,119,2
S018,3,119,115,3
S018,4,115,155,4
S018,5,155,20,5
S018,6,20,146,6
S018,7,146,114,7
S018,8,114,160,8
S018,9,160,1,9
S018,10,1,64,10
S018,11,64,38,11
S018,12,38,1,12
S018,13,1,97,13
S018,14,97,96,14
S018,15,96,173,15
S018,16,173,SINK,16
S019,1,129,97,1
S019,2,97,189,2
S019,3,189,197,3
S019,4,197,27,4
S019,5,27,151,5
S019,6,151,50,6
S019,7,50,100,7
S019,8,100,12,8
S019,9,12,94,9
S019,10,94,167,10
S019,11,167,66,11
S019,12,66,15,12
S019,13,15,91,13
S019,14,91,126,14
S019,15,126,111,15
S019,16,111,23,16
S019,17,23,144,17
S019,18,144,SINK,18
S020,1,142,39,1
