From,To,Weight,Level,Direction,Method
1005,987,1,0,INITIAL,ramex_back_forward_heuristic
3100,1005,1,1,BACKWARD,ramex_back_forward_heuristic
329097,3100,1,2,BACKWARD,ramex_back_forward_heuristic
2581,329097,1,3,BACKWARD,ramex_back_forward_heuristic
3225,2581,1,4,BACKWARD,ramex_back_forward_heuristic
942,3225,1,5,BACKWARD,ramex_back_forward_heuristic
3350,942,1,6,BACKWARD,ramex_back_forward_heuristic
1475,3350,1,7,BACKWARD,ramex_back_forward_heuristic
8169,1475,1,8,BACKWARD,ramex_back_forward_heuristic
6241,8169,1,9,BACKWARD,ramex_back_forward_heuristic
987,1319,1,2,FORWARD,ramex_back_forward_heuristic
1319,1857,1,3,FORWARD,ramex_back_forward_heuristic
1857,2372,1,4,FORWARD,ramex_back_forward_heuristic
2372,302,1,5,FORWARD,ramex_back_forward_heuristic
32921,302,1,6,BACKWARD,ramex_back_forward_heuristic
811,32921,1,7,BACKWARD,ramex_back_forward_heuristic
3266,811,1,8,BACKWARD,ramex_back_forward_heuristic
25214,3266,1,9,BACKWARD,ramex_back_forward_heuristic
302,29,1,6,FORWARD,ramex_back_forward_heuristic
13449,29,1,7,BACKWARD,ramex_back_forward_heuristic
1355,13449,1,8,BACKWARD,ramex_back_forward_heuristic
65,1355,1,9,BACKWARD,ramex_back_forward_heuristic
1130,65,1,10,BACKWARD,ramex_back_forward_heuristic
2154,1130,1,11,BACKWARD,ramex_back_forward_heuristic
2848,2154,1,12,BACKWARD,ramex_back_forward_heuristic
201,2848,1,13,BACKWARD,ramex_back_forward_heuristic
429,201,1,14,BACKWARD,ramex_back_forward_heuristic
2037,429,1,15,BACKWARD,ramex_back_forward_heuristic
6575,2037,1,16,BACKWARD,ramex_back_forward_heuristic
2487,6575,1,17,BACKWARD,ramex_back_forward_heuristic
1043,2487,1,18,BACKWARD,ramex_back_forward_heuristic
2408,1043,1,19,BACKWARD,ramex_back_forward_heuristic
4951,2408,1,20,BACKWARD,ramex_back_forward_heuristic
3514,4951,1,21,BACKWARD,ramex_back_forward_heuristic
29,156,1,7,FORWARD,ramex_back_forward_heuristic
29,81,1,7,FORWARD,ramex_back_forward_heuristic
302,29206,1,6,FORWARD,ramex_back_forward_heuristic
29206,177487,1,7,FORWARD,ramex_back_forward_heuristic
177487,1021,1,8,FORWARD,ramex_back_forward_heuristic
1021,7399,1,9,FORWARD,ramex_back_forward_heuristic
7399,2069,1,10,FORWARD,ramex_back_forward_heuristic
2069,453,1,11,FORWARD,ramex_back_forward_heuristic
453,955,1,12,FORWARD,ramex_back_forward_heuristic
955,7983,1,13,FORWARD,ramex_back_forward_heuristic
7983,2719,1,14,FORWARD,ramex_back_forward_heuristic
2719,930,1,15,FORWARD,ramex_back_forward_heuristic
930,28,1,16,FORWARD,ramex_back_forward_heuristic
28,126,1,17,FORWARD,ramex_back_forward_heuristic
